STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,1151,4779736,5730,24.0808,200.8726
Alaska,58,710231,257,8.1664,225.6809
Arizona,1338,6392017,7456,20.9324,179.4528
Arkansas,434,2915918,2052,14.8838,211.501
California,7559,37253956,40228,20.2905,187.9039
Colorado,445,5029196,3198,8.8483,139.1495
Connecticut,549,3574097,3431,15.3605,160.0117
Delaware,416,897934,2088,46.3286,199.2337
Florida,2663,18801310,14966,14.1639,177.9367
Georgia,4931,9687653,22416,50.8998,219.9768
Hawaii,15,1360301,85,1.1027,176.4706
Idaho,85,1567582,569,5.4224,149.3849
Illinois,2003,12830632,10670,15.6111,187.7226
Indiana,1710,6483802,7465,26.3734,229.069
Iowa,305,3046355,1738,10.012,175.4891
Kansas,389,2853118,2026,13.6342,192.0039
Kentucky,717,4339367,3823,16.5231,187.549
Louisiana,559,4533372,2935,12.3308,190.46
Maine,68,1328361,548,5.1191,124.0876
Maryland,833,5773552,4495,14.4279,185.317
Massachusetts,840,6547629,5945,12.8291,141.2952
Michigan,4444,9883640,23231,44.9632,191.2961
Minnesota,427,5303925,2775,8.0506,153.8739
Mississippi,864,2967297,4220,29.1174,204.7393
Missouri,1717,5988927,8960,28.6696,191.6295
Montana,37,989415,290,3.7396,127.5862
Nebraska,158,1826341,988,8.6512,159.919
Nevada,378,2700551,2031,13.9971,186.1152
New Hampshire,109,1316470,735,8.2797,148.2993
New Jersey,1213,8791894,6690,13.7968,181.3154
New Mexico,87,2059179,508,4.225,171.2598
New York,1660,19378102,9491,8.5664,174.9025
North Carolina,1023,9535483,5321,10.7284,192.2571
North Dakota,40,672591,264,5.9472,151.5152
Ohio,3687,11536504,18596,31.9594,198.2684
Oklahoma,480,3751351,2496,12.7954,192.3077
Oregon,488,3831074,3046,12.7379,160.2101
Pennsylvania,1519,12702379,8980,11.9584,169.1537
Puerto Rico,11,3725789,117,0.2952,94.0171
Rhode Island,106,1052567,795,10.0706,133.3333
South Carolina,476,4625364,2399,10.2911,198.416
South Dakota,63,814180,360,7.7378,175
Tennessee,2197,6346105,10788,34.6197,203.6522
Texas,4523,25145561,24161,17.9873,187.2025
Utah,407,2763885,2598,14.7256,156.659
Vermont,26,625741,188,4.1551,138.2979
Virginia,885,8001024,4923,11.0611,179.7684
Washington,507,6724540,3538,7.5395,143.3013
West Virginia,255,1852994,1245,13.7615,204.8193
Wisconsin,521,5686986,3168,9.1613,164.4571
Wyoming,25,563626,179,4.4356,139.6648
