STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,760,4779736,5730,15.9005,132.6353
Alaska,33,710231,257,4.6464,128.4047
Arizona,1187,6392017,7456,18.57,159.2006
Arkansas,335,2915918,2052,11.4887,163.2554
California,6140,37253956,40228,16.4815,152.63
Colorado,502,5029196,3198,9.9817,156.9731
Connecticut,523,3574097,3431,14.6331,152.4337
Delaware,274,897934,2088,30.5145,131.2261
Florida,2399,18801310,14966,12.7597,160.2967
Georgia,2331,9687653,22416,24.0616,103.9882
Hawaii,15,1360301,85,1.1027,176.4706
Idaho,106,1567582,569,6.762,186.2917
Illinois,1428,12830632,10670,11.1296,133.8332
Indiana,1291,6483802,7465,19.9112,172.9404
Iowa,255,3046355,1738,8.3707,146.7204
Kansas,316,2853118,2026,11.0756,155.9724
Kentucky,612,4339367,3823,14.1034,160.0837
Louisiana,411,4533372,2935,9.0661,140.0341
Maine,89,1328361,548,6.7,162.4088
Maryland,633,5773552,4495,10.9638,140.8231
Massachusetts,852,6547629,5945,13.0123,143.3137
Michigan,4355,9883640,23231,44.0627,187.465
Minnesota,503,5303925,2775,9.4835,181.2613
Mississippi,418,2967297,4220,14.0869,99.0521
Missouri,1361,5988927,8960,22.7253,151.8973
Montana,63,989415,290,6.3674,217.2414
Nebraska,173,1826341,988,9.4725,175.1012
Nevada,377,2700551,2031,13.9601,185.6228
New Hampshire,120,1316470,735,9.1153,163.2653
New Jersey,964,8791894,6690,10.9646,144.0957
New Mexico,66,2059179,508,3.2052,129.9213
New York,1384,19378102,9491,7.1421,145.8224
North Carolina,723,9535483,5321,7.5822,135.8767
North Dakota,46,672591,264,6.8392,174.2424
Ohio,3054,11536504,18596,26.4725,164.2289
Oklahoma,396,3751351,2496,10.5562,158.6538
Oregon,476,3831074,3046,12.4247,156.2705
Pennsylvania,1348,12702379,8980,10.6122,150.1114
Puerto Rico,1,3725789,117,0.0268,8.547
Rhode Island,122,1052567,795,11.5907,153.4591
South Carolina,364,4625364,2399,7.8697,151.7299
South Dakota,53,814180,360,6.5096,147.2222
Tennessee,1493,6346105,10788,23.5262,138.3945
Texas,2853,25145561,24161,11.3459,118.0829
Utah,462,2763885,2598,16.7156,177.8291
Vermont,44,625741,188,7.0317,234.0426
Virginia,719,8001024,4923,8.9863,146.0492
Washington,623,6724540,3538,9.2646,176.0882
West Virginia,172,1852994,1245,9.2823,138.1526
Wisconsin,496,5686986,3168,8.7217,156.5657
Wyoming,31,563626,179,5.5001,173.1844
