DS_POP,STATE,STD_POP_DS,CENSUSPOP,STD_POP_CS
51710,Ohio,51.71,11536504,115.36504
6972,Arkansas,6.972,2915918,29.15918
38153,New York,38.153,19378102,193.78102
29461,Pennsylvania,29.461,12702379,127.02379
68782,Georgia,68.782,9687653,96.87653
20266,Indiana,20.266,6483802,64.83802
36586,Illinois,36.586,12830632,128.30632
9513,Louisiana,9.513,4533372,45.33372
13274,Maryland,13.274,5773552,57.73552
86419,Texas,86.419,25145561,251.45561
46533,Florida,46.533,18801310,188.0131
8554,Oklahoma,8.554,3751351,37.51351
7809,Iowa,7.809,3046355,30.46355
110781,California,110.781,37253956,372.53956
11819,Wisconsin,11.819,5686986,56.86986
60017,Michigan,60.017,9883640,98.8364
17188,Mississippi,17.188,2967297,29.67297
2387,Maine,2.387,1328361,13.28361
7302,Nevada,7.302,2700551,27.00551
10881,Minnesota,10.881,5303925,53.03925
39193,Tennessee,39.193,6346105,63.46105
12082,Kentucky,12.082,4339367,43.39367
24762,Arizona,24.762,6392017,63.92017
2122,New Mexico,2.122,2059179,20.59179
16696,Virginia,16.696,8001024,80.01024
756,Wyoming,0.756,563626,5.63626
30140,Missouri,30.14,5988927,59.88927
18780,Washington,18.78,6724540,67.2454
2345,Idaho,2.345,1567582,15.67582
3558,West Virginia,3.558,1852994,18.52994
27050,Massachusetts,27.05,6547629,65.47629
22713,North Carolina,22.713,9535483,95.35483
15289,Oregon,15.289,3831074,38.31074
4223,Rhode Island,4.223,1052567,10.52567
12893,Colorado,12.893,5029196,50.29196
14366,Connecticut,14.366,3574097,35.74097
3257,New Hampshire,3.257,1316470,13.1647
25601,New Jersey,25.601,8791894,87.91894
19688,Alabama,19.688,4779736,47.79736
1193,Alaska,1.193,710231,7.10231
8448,South Carolina,8.448,4625364,46.25364
7854,Kansas,7.854,2853118,28.53118
8224,Delaware,8.224,897934,8.97934
11502,Utah,11.502,2763885,27.63885
4084,Nebraska,4.084,1826341,18.26341
1110,Montana,1.11,989415,9.89415
829,North Dakota,0.829,672591,6.72591
1257,South Dakota,1.257,814180,8.1418
230,Hawaii,0.23,1360301,13.60301
686,Vermont,0.686,625741,6.25741
728,Puerto Rico,0.728,3725789,37.25789
