STATE,EECLASS,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,4,4779736,5730,0.0837,0.6981
Alabama,Hourly Non-union,9,4779736,5730,0.1883,1.5707
Alabama,Hourly Union,5,4779736,5730,0.1046,0.8726
Alabama,Non-union,5,4779736,5730,0.1046,0.8726
Alabama,Union,3,4779736,5730,0.0628,0.5236
Alabama,Unknown,17,4779736,5730,0.3557,2.9668
Alabama,Salary Union,0,4779736,5730,0,0
Alabama,Salary Other,0,4779736,5730,0,0
Alabama,Hourly Other,0,4779736,5730,0,0
Alaska,Hourly Non-union,1,710231,257,0.1408,3.8911
Alaska,Salary Non-union,0,710231,257,0,0
Alaska,Salary Union,0,710231,257,0,0
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Union,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Alaska,Unknown,0,710231,257,0,0
Arizona,Salary Non-union,7,6392017,7456,0.1095,0.9388
Arizona,Salary Other,4,6392017,7456,0.0626,0.5365
Arizona,Hourly Non-union,3,6392017,7456,0.0469,0.4024
Arizona,Hourly Union,3,6392017,7456,0.0469,0.4024
Arizona,Hourly Other,2,6392017,7456,0.0313,0.2682
Arizona,Non-union,3,6392017,7456,0.0469,0.4024
Arizona,Unknown,7,6392017,7456,0.1095,0.9388
Arizona,Salary Union,0,6392017,7456,0,0
Arizona,Union,0,6392017,7456,0,0
Arkansas,Salary Non-union,3,2915918,2052,0.1029,1.462
Arkansas,Hourly Non-union,7,2915918,2052,0.2401,3.4113
Arkansas,Hourly Union,10,2915918,2052,0.3429,4.8733
Arkansas,Non-union,1,2915918,2052,0.0343,0.4873
Arkansas,Unknown,1,2915918,2052,0.0343,0.4873
Arkansas,Salary Union,0,2915918,2052,0,0
Arkansas,Salary Other,0,2915918,2052,0,0
Arkansas,Hourly Other,0,2915918,2052,0,0
Arkansas,Union,0,2915918,2052,0,0
California,Salary Non-union,46,37253956,40228,0.1235,1.1435
California,Salary Union,2,37253956,40228,0.0054,0.0497
California,Salary Other,9,37253956,40228,0.0242,0.2237
California,Hourly Non-union,21,37253956,40228,0.0564,0.522
California,Hourly Union,18,37253956,40228,0.0483,0.4474
California,Hourly Other,3,37253956,40228,0.0081,0.0746
California,Non-union,26,37253956,40228,0.0698,0.6463
California,Union,48,37253956,40228,0.1288,1.1932
California,Unknown,359,37253956,40228,0.9637,8.9241
Colorado,Salary Non-union,4,5029196,3198,0.0795,1.2508
Colorado,Salary Other,2,5029196,3198,0.0398,0.6254
Colorado,Hourly Non-union,8,5029196,3198,0.1591,2.5016
Colorado,Hourly Union,4,5029196,3198,0.0795,1.2508
Colorado,Hourly Other,1,5029196,3198,0.0199,0.3127
Colorado,Non-union,2,5029196,3198,0.0398,0.6254
Colorado,Union,1,5029196,3198,0.0199,0.3127
Colorado,Unknown,18,5029196,3198,0.3579,5.6285
Colorado,Salary Union,0,5029196,3198,0,0
Connecticut,Salary Non-union,7,3574097,3431,0.1959,2.0402
Connecticut,Salary Other,1,3574097,3431,0.028,0.2915
Connecticut,Hourly Non-union,6,3574097,3431,0.1679,1.7488
Connecticut,Hourly Union,6,3574097,3431,0.1679,1.7488
Connecticut,Non-union,3,3574097,3431,0.0839,0.8744
Connecticut,Union,2,3574097,3431,0.056,0.5829
Connecticut,Unknown,8,3574097,3431,0.2238,2.3317
Connecticut,Salary Union,0,3574097,3431,0,0
Connecticut,Hourly Other,0,3574097,3431,0,0
Delaware,Salary Non-union,4,897934,2088,0.4455,1.9157
Delaware,Hourly Union,7,897934,2088,0.7796,3.3525
Delaware,Unknown,17,897934,2088,1.8932,8.1418
Delaware,Salary Union,0,897934,2088,0,0
Delaware,Salary Other,0,897934,2088,0,0
Delaware,Hourly Non-union,0,897934,2088,0,0
Delaware,Hourly Other,0,897934,2088,0,0
Delaware,Non-union,0,897934,2088,0,0
Delaware,Union,0,897934,2088,0,0
Florida,Salary Non-union,24,18801310,14966,0.1277,1.6036
Florida,Salary Union,1,18801310,14966,0.0053,0.0668
