STATE,EECLASS,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,98,4779736,5730,2.0503,17.103
Alabama,Salary Union,6,4779736,5730,0.1255,1.0471
Alabama,Salary Other,9,4779736,5730,0.1883,1.5707
Alabama,Hourly Non-union,122,4779736,5730,2.5524,21.2914
Alabama,Hourly Union,225,4779736,5730,4.7074,39.267
Alabama,Hourly Other,20,4779736,5730,0.4184,3.4904
Alabama,Non-union,164,4779736,5730,3.4312,28.6213
Alabama,Union,53,4779736,5730,1.1088,9.2496
Alabama,Unknown,457,4779736,5730,9.5612,79.7557
Alaska,Salary Non-union,9,710231,257,1.2672,35.0195
Alaska,Hourly Non-union,36,710231,257,5.0688,140.0778
Alaska,Hourly Union,6,710231,257,0.8448,23.3463
Alaska,Non-union,1,710231,257,0.1408,3.8911
Alaska,Union,1,710231,257,0.1408,3.8911
Alaska,Unknown,5,710231,257,0.704,19.4553
Alaska,Salary Union,0,710231,257,0,0
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Arizona,Salary Non-union,176,6392017,7456,2.7534,23.6052
Arizona,Salary Union,6,6392017,7456,0.0939,0.8047
Arizona,Salary Other,104,6392017,7456,1.627,13.9485
Arizona,Hourly Non-union,452,6392017,7456,7.0713,60.6223
Arizona,Hourly Union,89,6392017,7456,1.3924,11.9367
Arizona,Hourly Other,56,6392017,7456,0.8761,7.5107
Arizona,Non-union,180,6392017,7456,2.816,24.1416
Arizona,Union,10,6392017,7456,0.1564,1.3412
Arizona,Unknown,266,6392017,7456,4.1614,35.676
Arkansas,Salary Non-union,59,2915918,2052,2.0234,28.7524
Arkansas,Salary Other,17,2915918,2052,0.583,8.2846
Arkansas,Hourly Non-union,181,2915918,2052,6.2073,88.2066
Arkansas,Hourly Union,77,2915918,2052,2.6407,37.5244
Arkansas,Hourly Other,29,2915918,2052,0.9945,14.1326
Arkansas,Non-union,33,2915918,2052,1.1317,16.0819
Arkansas,Union,5,2915918,2052,0.1715,2.4366
Arkansas,Unknown,33,2915918,2052,1.1317,16.0819
Arkansas,Salary Union,0,2915918,2052,0,0
California,Salary Non-union,371,37253956,40228,0.9959,9.2224
California,Salary Union,7,37253956,40228,0.0188,0.174
California,Salary Other,68,37253956,40228,0.1825,1.6904
California,Hourly Non-union,371,37253956,40228,0.9959,9.2224
California,Hourly Union,277,37253956,40228,0.7435,6.8858
California,Hourly Other,62,37253956,40228,0.1664,1.5412
California,Non-union,299,37253956,40228,0.8026,7.4326
California,Union,529,37253956,40228,1.42,13.15
California,Unknown,5576,37253956,40228,14.9675,138.6099
Colorado,Salary Non-union,88,5029196,3198,1.7498,27.5172
Colorado,Salary Union,6,5029196,3198,0.1193,1.8762
Colorado,Salary Other,7,5029196,3198,0.1392,2.1889
Colorado,Hourly Non-union,135,5029196,3198,2.6843,42.2139
Colorado,Hourly Union,28,5029196,3198,0.5567,8.7555
Colorado,Hourly Other,15,5029196,3198,0.2983,4.6904
Colorado,Non-union,57,5029196,3198,1.1334,17.8236
Colorado,Union,13,5029196,3198,0.2585,4.065
Colorado,Unknown,99,5029196,3198,1.9685,30.9568
Connecticut,Salary Non-union,86,3574097,3431,2.4062,25.0656
Connecticut,Salary Union,2,3574097,3431,0.056,0.5829
Connecticut,Salary Other,9,3574097,3431,0.2518,2.6231
Connecticut,Hourly Non-union,86,3574097,3431,2.4062,25.0656
