STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,662,11536504,51710,5.7383,12.8022
Arkansas,61,2915918,6972,2.092,8.7493
New York,483,19378102,38153,2.4925,12.6596
Pennsylvania,429,12702379,29461,3.3773,14.5616
Georgia,690,9687653,68782,7.1225,10.0317
Indiana,327,6483802,20266,5.0433,16.1354
Illinois,381,12830632,36586,2.9695,10.4138
Louisiana,89,4533372,9513,1.9632,9.3556
Maryland,157,5773552,13274,2.7193,11.8276
Texas,941,25145561,86419,3.7422,10.8888
Florida,845,18801310,46533,4.4944,18.1592
Oklahoma,61,3751351,8554,1.6261,7.1312
Iowa,85,3046355,7809,2.7902,10.8849
California,1833,37253956,110781,4.9203,16.5462
Wisconsin,168,5686986,11819,2.9541,14.2144
Michigan,1097,9883640,60017,11.0991,18.2782
Mississippi,129,2967297,17188,4.3474,7.5052
Maine,18,1328361,2387,1.3551,7.5408
Nevada,86,2700551,7302,3.1845,11.7776
Minnesota,237,5303925,10881,4.4684,21.7811
Tennessee,406,6346105,39193,6.3976,10.359
Kentucky,130,4339367,12082,2.9958,10.7598
Arizona,297,6392017,24762,4.6464,11.9942
New Mexico,21,2059179,2122,1.0198,9.8963
Virginia,224,8001024,16696,2.7996,13.4164
Wyoming,11,563626,756,1.9516,14.5503
Missouri,282,5988927,30140,4.7087,9.3563
Washington,345,6724540,18780,5.1305,18.3706
Idaho,45,1567582,2345,2.8707,19.1898
West Virginia,21,1852994,3558,1.1333,5.9022
Massachusetts,433,6547629,27050,6.6131,16.0074
North Carolina,244,9535483,22713,2.5589,10.7427
Oregon,197,3831074,15289,5.1422,12.8851
Rhode Island,66,1052567,4223,6.2704,15.6287
Colorado,161,5029196,12893,3.2013,12.4874
Connecticut,211,3574097,14366,5.9036,14.6875
New Hampshire,37,1316470,3257,2.8105,11.3601
New Jersey,353,8791894,25601,4.0151,13.7885
Alabama,200,4779736,19688,4.1843,10.1585
Alaska,3,710231,1193,0.4224,2.5147
South Carolina,102,4625364,8448,2.2052,12.0739
Kansas,166,2853118,7854,5.8182,21.1357
Delaware,71,897934,8224,7.907,8.6333
Utah,137,2763885,11502,4.9568,11.911
Nebraska,41,1826341,4084,2.2449,10.0392
Montana,22,989415,1110,2.2235,19.8198
North Dakota,13,672591,829,1.9328,15.6815
South Dakota,20,814180,1257,2.4565,15.9109
Hawaii,2,1360301,230,0.147,8.6957
Vermont,18,625741,686,2.8766,26.2391
