STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Oil & Gas Extraction, Mining",8,11536504,51710,0.0693,0.1547
Ohio,"Manufacturing, Durable Goods",330,11536504,51710,2.8605,6.3817
Ohio,"Manufacturing, Nondurable Goods",27,11536504,51710,0.234,0.5221
Ohio,"Transportation, Communications, Utilities",69,11536504,51710,0.5981,1.3344
Ohio,Retail Trade,15,11536504,51710,0.13,0.2901
Ohio,"Finance, Insurance, Real Estate",56,11536504,51710,0.4854,1.083
Ohio,Services,74,11536504,51710,0.6414,1.4311
Ohio,Wholesale,3,11536504,51710,0.026,0.058
Arkansas,"Oil & Gas Extraction, Mining",1,2915918,6972,0.0343,0.1434
Arkansas,"Manufacturing, Durable Goods",9,2915918,6972,0.3087,1.2909
Arkansas,"Manufacturing, Nondurable Goods",27,2915918,6972,0.926,3.8726
Arkansas,"Transportation, Communications, Utilities",14,2915918,6972,0.4801,2.008
Arkansas,Retail Trade,4,2915918,6972,0.1372,0.5737
Arkansas,Services,4,2915918,6972,0.1372,0.5737
Arkansas,Wholesale,1,2915918,6972,0.0343,0.1434
New York,"Manufacturing, Durable Goods",110,19378102,38153,0.5677,2.8831
New York,"Manufacturing, Nondurable Goods",20,19378102,38153,0.1032,0.5242
New York,"Transportation, Communications, Utilities",179,19378102,38153,0.9237,4.6916
New York,Retail Trade,34,19378102,38153,0.1755,0.8911
New York,"Finance, Insurance, Real Estate",94,19378102,38153,0.4851,2.4638
New York,Services,44,19378102,38153,0.2271,1.1533
Pennsylvania,"Oil & Gas Extraction, Mining",1,12702379,29461,0.0079,0.0339
Pennsylvania,"Manufacturing, Durable Goods",91,12702379,29461,0.7164,3.0888
Pennsylvania,"Manufacturing, Nondurable Goods",68,12702379,29461,0.5353,2.3081
Pennsylvania,"Transportation, Communications, Utilities",108,12702379,29461,0.8502,3.6659
Pennsylvania,Retail Trade,33,12702379,29461,0.2598,1.1201
Pennsylvania,"Finance, Insurance, Real Estate",77,12702379,29461,0.6062,2.6136
Pennsylvania,Services,33,12702379,29461,0.2598,1.1201
Pennsylvania,Wholesale,1,12702379,29461,0.0079,0.0339
Georgia,"Manufacturing, Durable Goods",80,9687653,68782,0.8258,1.1631
Georgia,"Manufacturing, Nondurable Goods",53,9687653,68782,0.5471,0.7706
Georgia,"Transportation, Communications, Utilities",123,9687653,68782,1.2697,1.7883
Georgia,Retail Trade,21,9687653,68782,0.2168,0.3053
Georgia,"Finance, Insurance, Real Estate",38,9687653,68782,0.3923,0.5525
Georgia,Services,45,9687653,68782,0.4645,0.6542
