STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Oil & Gas Extraction, Mining",9,11536504,51710,0.078,0.174
Ohio,"Manufacturing, Durable Goods",325,11536504,51710,2.8171,6.2851
Ohio,"Manufacturing, Nondurable Goods",49,11536504,51710,0.4247,0.9476
Ohio,"Transportation, Communications, Utilities",88,11536504,51710,0.7628,1.7018
Ohio,Retail Trade,38,11536504,51710,0.3294,0.7349
Ohio,"Finance, Insurance, Real Estate",64,11536504,51710,0.5548,1.2377
Ohio,Services,108,11536504,51710,0.9362,2.0886
Ohio,Wholesale,2,11536504,51710,0.0173,0.0387
Arkansas,"Manufacturing, Durable Goods",13,2915918,6972,0.4458,1.8646
Arkansas,"Manufacturing, Nondurable Goods",21,2915918,6972,0.7202,3.012
Arkansas,"Transportation, Communications, Utilities",18,2915918,6972,0.6173,2.5818
Arkansas,Retail Trade,3,2915918,6972,0.1029,0.4303
Arkansas,"Finance, Insurance, Real Estate",4,2915918,6972,0.1372,0.5737
Arkansas,Services,3,2915918,6972,0.1029,0.4303
New York,"Manufacturing, Durable Goods",75,19378102,38153,0.387,1.9658
New York,"Manufacturing, Nondurable Goods",17,19378102,38153,0.0877,0.4456
New York,"Transportation, Communications, Utilities",126,19378102,38153,0.6502,3.3025
New York,Retail Trade,19,19378102,38153,0.098,0.498
New York,"Finance, Insurance, Real Estate",88,19378102,38153,0.4541,2.3065
New York,Services,31,19378102,38153,0.16,0.8125
Pennsylvania,"Oil & Gas Extraction, Mining",2,12702379,29461,0.0157,0.0679
Pennsylvania,"Manufacturing, Durable Goods",66,12702379,29461,0.5196,2.2402
Pennsylvania,"Manufacturing, Nondurable Goods",58,12702379,29461,0.4566,1.9687
Pennsylvania,"Transportation, Communications, Utilities",95,12702379,29461,0.7479,3.2246
Pennsylvania,Retail Trade,38,12702379,29461,0.2992,1.2898
Pennsylvania,"Finance, Insurance, Real Estate",62,12702379,29461,0.4881,2.1045
Pennsylvania,Services,36,12702379,29461,0.2834,1.222
Pennsylvania,Wholesale,2,12702379,29461,0.0157,0.0679
Georgia,"Manufacturing, Durable Goods",107,9687653,68782,1.1045,1.5556
Georgia,"Manufacturing, Nondurable Goods",63,9687653,68782,0.6503,0.9159
Georgia,"Transportation, Communications, Utilities",142,9687653,68782,1.4658,2.0645
Georgia,Retail Trade,21,9687653,68782,0.2168,0.3053
Georgia,"Finance, Insurance, Real Estate",51,9687653,68782,0.5264,0.7415
Georgia,Services,74,9687653,68782,0.7639,1.0759
Georgia,Construction,1,9687653,68782,0.0103,0.0145
Georgia,Wholesale,3,9687653,68782,0.031,0.0436
Indiana,"Manufacturing, Durable Goods",127,6483802,20266,1.9587,6.2667
Indiana,"Manufacturing, Nondurable Goods",18,6483802,20266,0.2776,0.8882
Indiana,"Transportation, Communications, Utilities",43,6483802,20266,0.6632,2.1218
Indiana,Retail Trade,17,6483802,20266,0.2622,0.8388
Indiana,"Finance, Insurance, Real Estate",15,6483802,20266,0.2313,0.7402
Indiana,Services,11,6483802,20266,0.1697,0.5428
Indiana,Wholesale,1,6483802,20266,0.0154,0.0493
Illinois,"Oil & Gas Extraction, Mining",2,12830632,36586,0.0156,0.0547
Illinois,"Manufacturing, Durable Goods",114,12830632,36586,0.8885,3.1159
Illinois,"Manufacturing, Nondurable Goods",61,12830632,36586,0.4754,1.6673
Illinois,"Transportation, Communications, Utilities",115,12830632,36586,0.8963,3.1433
Illinois,Retail Trade,46,12830632,36586,0.3585,1.2573
Illinois,"Finance, Insurance, Real Estate",104,12830632,36586,0.8106,2.8426
Illinois,Services,20,12830632,36586,0.1559,0.5467
Illinois,Wholesale,2,12830632,36586,0.0156,0.0547
Louisiana,"Oil & Gas Extraction, Mining",7,4533372,9513,0.1544,0.7358
Louisiana,"Manufacturing, Durable Goods",36,4533372,9513,0.7941,3.7843
Louisiana,"Manufacturing, Nondurable Goods",16,4533372,9513,0.3529,1.6819
