STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,4205,11536504,51710,36.4495,81.3189
Ohio,Salary Union,164,11536504,51710,1.4216,3.1715
Ohio,Salary Other,2902,11536504,51710,25.1549,56.1207
Ohio,Hourly Non-union,537,11536504,51710,4.6548,10.3848
Ohio,Hourly Union,14,11536504,51710,0.1214,0.2707
Ohio,Hourly Other,158,11536504,51710,1.3696,3.0555
Ohio,Non-union,62,11536504,51710,0.5374,1.199
Ohio,Union,257,11536504,51710,2.2277,4.97
Ohio,Unknown,658,11536504,51710,5.7036,12.7248
Arkansas,Salary Non-union,634,2915918,6972,21.7427,90.9352
Arkansas,Salary Union,20,2915918,6972,0.6859,2.8686
Arkansas,Salary Other,140,2915918,6972,4.8012,20.0803
Arkansas,Hourly Non-union,35,2915918,6972,1.2003,5.0201
Arkansas,Hourly Union,21,2915918,6972,0.7202,3.012
Arkansas,Hourly Other,16,2915918,6972,0.5487,2.2949
Arkansas,Non-union,10,2915918,6972,0.3429,1.4343
Arkansas,Union,6,2915918,6972,0.2058,0.8606
Arkansas,Unknown,74,2915918,6972,2.5378,10.6139
New York,Salary Non-union,2132,19378102,38153,11.0021,55.8803
New York,Salary Union,60,19378102,38153,0.3096,1.5726
New York,Salary Other,1082,19378102,38153,5.5836,28.3595
New York,Hourly Non-union,164,19378102,38153,0.8463,4.2985
New York,Hourly Union,17,19378102,38153,0.0877,0.4456
New York,Hourly Other,105,19378102,38153,0.5418,2.7521
New York,Non-union,82,19378102,38153,0.4232,2.1492
New York,Union,44,19378102,38153,0.2271,1.1533
New York,Unknown,256,19378102,38153,1.3211,6.7098
Pennsylvania,Salary Non-union,2413,12702379,29461,18.9964,81.9049
Pennsylvania,Salary Union,60,12702379,29461,0.4724,2.0366
Pennsylvania,Salary Other,734,12702379,29461,5.7784,24.9143
Pennsylvania,Hourly Non-union,104,12702379,29461,0.8187,3.5301
Pennsylvania,Hourly Union,10,12702379,29461,0.0787,0.3394
Pennsylvania,Hourly Other,95,12702379,29461,0.7479,3.2246
Pennsylvania,Non-union,60,12702379,29461,0.4724,2.0366
Pennsylvania,Union,32,12702379,29461,0.2519,1.0862
Pennsylvania,Unknown,262,12702379,29461,2.0626,8.8931
Georgia,Salary Non-union,8738,9687653,68782,90.1973,127.0391
Georgia,Salary Union,74,9687653,68782,0.7639,1.0759
Georgia,Salary Other,2540,9687653,68782,26.2189,36.9283
Georgia,Hourly Non-union,151,9687653,68782,1.5587,2.1953
Georgia,Hourly Union,27,9687653,68782,0.2787,0.3925
Georgia,Hourly Other,166,9687653,68782,1.7135,2.4134
Georgia,Non-union,55,9687653,68782,0.5677,0.7996
Georgia,Union,56,9687653,68782,0.5781,0.8142
Georgia,Unknown,424,9687653,68782,4.3767,6.1644
Indiana,Salary Non-union,1463,6483802,20266,22.5639,72.1899
Indiana,Salary Union,73,6483802,20266,1.1259,3.6021
Indiana,Salary Other,1325,6483802,20266,20.4355,65.3804
Indiana,Hourly Non-union,308,6483802,20266,4.7503,15.1979
Indiana,Hourly Union,10,6483802,20266,0.1542,0.4934
Indiana,Hourly Other,39,6483802,20266,0.6015,1.9244
Indiana,Non-union,27,6483802,20266,0.4164,1.3323
Indiana,Union,120,6483802,20266,1.8508,5.9212
Indiana,Unknown,142,6483802,20266,2.1901,7.0068
Illinois,Salary Non-union,2721,12830632,36586,21.2071,74.3727
Illinois,Salary Union,69,12830632,36586,0.5378,1.886
Illinois,Salary Other,1230,12830632,36586,9.5864,33.6194
Illinois,Hourly Non-union,198,12830632,36586,1.5432,5.4119
Illinois,Hourly Union,23,12830632,36586,0.1793,0.6287
Illinois,Hourly Other,94,12830632,36586,0.7326,2.5693
Illinois,Non-union,78,12830632,36586,0.6079,2.132
Illinois,Union,72,12830632,36586,0.5612,1.968
Illinois,Unknown,368,12830632,36586,2.8681,10.0585
Louisiana,Salary Non-union,876,4533372,9513,19.3234,92.0845
Louisiana,Salary Union,30,4533372,9513,0.6618,3.1536
