STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,3,11536504,51710,0.026,0.058
New York,1,19378102,38153,0.0052,0.0262
Pennsylvania,4,12702379,29461,0.0315,0.1358
Georgia,6,9687653,68782,0.0619,0.0872
Illinois,7,12830632,36586,0.0546,0.1913
Louisiana,1,4533372,9513,0.0221,0.1051
Maryland,1,5773552,13274,0.0173,0.0753
Texas,2,25145561,86419,0.008,0.0231
Florida,2,18801310,46533,0.0106,0.043
Oklahoma,1,3751351,8554,0.0267,0.1169
Iowa,1,3046355,7809,0.0328,0.1281
California,2,37253956,110781,0.0054,0.0181
Wisconsin,3,5686986,11819,0.0528,0.2538
Michigan,8,9883640,60017,0.0809,0.1333
Maine,2,1328361,2387,0.1506,0.8379
Minnesota,2,5303925,10881,0.0377,0.1838
Kentucky,4,4339367,12082,0.0922,0.3311
Arizona,3,6392017,24762,0.0469,0.1212
Missouri,5,5988927,30140,0.0835,0.1659
Washington,2,6724540,18780,0.0297,0.1065
Massachusetts,3,6547629,27050,0.0458,0.1109
North Carolina,1,9535483,22713,0.0105,0.044
Oregon,2,3831074,15289,0.0522,0.1308
Rhode Island,11,1052567,4223,1.0451,2.6048
Connecticut,4,3574097,14366,0.1119,0.2784
New Jersey,1,8791894,25601,0.0114,0.0391
Alabama,1,4779736,19688,0.0209,0.0508
Kansas,2,2853118,7854,0.0701,0.2546
