STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,2172,11536504,794040,18.8272,2.7354
Arkansas,186,2915918,106515,6.3788,1.7462
New York,927,19378102,583905,4.7838,1.5876
Pennsylvania,938,12702379,454890,7.3844,2.062
Georgia,1733,9687653,1052055,17.8887,1.6473
Indiana,846,6483802,312105,13.0479,2.7106
Illinois,1029,12830632,561345,8.0199,1.8331
Louisiana,233,4533372,145680,5.1397,1.5994
Maryland,459,5773552,204390,7.95,2.2457
Texas,1772,25145561,1331070,7.047,1.3313
Florida,1362,18801310,721290,7.2442,1.8883
Oklahoma,222,3751351,131130,5.9179,1.693
Iowa,221,3046355,118950,7.2546,1.8579
California,4437,37253956,1701105,11.9101,2.6083
Wisconsin,418,5686986,181605,7.3501,2.3017
Michigan,2722,9883640,923940,27.5405,2.9461
Mississippi,285,2967297,261975,9.6047,1.0879
Maine,51,1328361,36795,3.8393,1.3861
Nevada,166,2700551,112125,6.1469,1.4805
Minnesota,414,5303925,167085,7.8055,2.4778
Tennessee,847,6346105,603255,13.3468,1.404
Kentucky,362,4339367,185160,8.3422,1.9551
Arizona,886,6392017,377835,13.861,2.3449
New Mexico,62,2059179,32220,3.0109,1.9243
Virginia,514,8001024,256095,6.4242,2.0071
Wyoming,24,563626,11490,4.2581,2.0888
Missouri,1010,5988927,463470,16.8645,2.1792
Washington,410,6724540,287715,6.0971,1.425
Idaho,85,1567582,35820,5.4224,2.373
West Virginia,117,1852994,54360,6.3141,2.1523
Massachusetts,687,6547629,415290,10.4923,1.6543
North Carolina,519,9535483,347880,5.4428,1.4919
Oregon,380,3831074,234330,9.9189,1.6216
Rhode Island,124,1052567,64410,11.7807,1.9252
Colorado,436,5029196,197340,8.6694,2.2094
Connecticut,302,3574097,221055,8.4497,1.3662
New Hampshire,98,1316470,49860,7.4441,1.9655
New Jersey,632,8791894,391230,7.1884,1.6154
Alabama,426,4779736,301680,8.9126,1.4121
Alaska,29,710231,18135,4.0832,1.5991
South Carolina,234,4625364,129240,5.0591,1.8106
Kansas,165,2853118,120030,5.7831,1.3747
Delaware,231,897934,127320,25.7257,1.8143
Utah,482,2763885,176445,17.4392,2.7317
Nebraska,117,1826341,62580,6.4063,1.8696
Montana,43,989415,16920,4.346,2.5414
North Dakota,38,672591,12885,5.6498,2.9492
South Dakota,47,814180,19275,5.7727,2.4384
Hawaii,5,1360301,3495,0.3676,1.4306
Vermont,28,625741,10545,4.4747,2.6553
