STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,2571,11536504,51710,22.2858,49.7196
Arkansas,157,2915918,6972,5.3842,22.5186
New York,932,19378102,38153,4.8096,24.428
Pennsylvania,856,12702379,29461,6.7389,29.0554
Georgia,2389,9687653,68782,24.6603,34.7329
Indiana,1009,6483802,20266,15.5619,49.7878
Illinois,1145,12830632,36586,8.924,31.2961
Louisiana,381,4533372,9513,8.4043,40.0505
Maryland,771,5773552,13274,13.354,58.0835
Texas,3975,25145561,86419,15.808,45.9968
Florida,1583,18801310,46533,8.4196,34.0189
Oklahoma,309,3751351,8554,8.237,36.1235
Iowa,177,3046355,7809,5.8102,22.6662
California,8347,37253956,110781,22.4057,75.3469
Wisconsin,389,5686986,11819,6.8402,32.9131
Michigan,3329,9883640,60017,33.6819,55.4676
Mississippi,346,2967297,17188,11.6604,20.1303
Maine,60,1328361,2387,4.5168,25.1362
Nevada,202,2700551,7302,7.48,27.6637
Minnesota,335,5303925,10881,6.3161,30.7876
Tennessee,1317,6346105,39193,20.7529,33.6029
Kentucky,500,4339367,12082,11.5224,41.3839
Arizona,1419,6392017,24762,22.1996,57.3055
New Mexico,65,2059179,2122,3.1566,30.6315
Virginia,625,8001024,16696,7.8115,37.4341
Wyoming,21,563626,756,3.7259,27.7778
Missouri,796,5988927,30140,13.2912,26.4101
Washington,402,6724540,18780,5.9781,21.4058
Idaho,78,1567582,2345,4.9758,33.2623
West Virginia,131,1852994,3558,7.0696,36.8184
Massachusetts,691,6547629,27050,10.5534,25.5453
North Carolina,700,9535483,22713,7.341,30.8194
Oregon,417,3831074,15289,10.8847,27.2745
Rhode Island,53,1052567,4223,5.0353,12.5503
Colorado,398,5029196,12893,7.9138,30.8695
Connecticut,346,3574097,14366,9.6808,24.0846
New Hampshire,57,1316470,3257,4.3298,17.5008
New Jersey,628,8791894,25601,7.1429,24.5303
Alabama,446,4779736,19688,9.3311,22.6534
Alaska,52,710231,1193,7.3216,43.5876
South Carolina,316,4625364,8448,6.8319,37.4053
Kansas,199,2853118,7854,6.9748,25.3374
Delaware,245,897934,8224,27.2849,29.7909
Utah,268,2763885,11502,9.6965,23.3003
Nebraska,97,1826341,4084,5.3112,23.7512
Montana,30,989415,1110,3.0321,27.027
North Dakota,42,672591,829,6.2445,50.6634
South Dakota,43,814180,1257,5.2814,34.2084
Hawaii,3,1360301,230,0.2205,13.0435
Vermont,19,625741,686,3.0364,27.6968
Puerto Rico,7,3725789,728,0.1879,9.6154
