STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,2,11536504,51710,0.0173,0.0387
Ohio,Salary Other,1,11536504,51710,0.0087,0.0193
Arkansas,NA,NA,2915918,6972,NA,NA
New York,Salary Non-union,1,19378102,38153,0.0052,0.0262
Pennsylvania,Salary Non-union,2,12702379,29461,0.0157,0.0679
Pennsylvania,Salary Union,1,12702379,29461,0.0079,0.0339
Pennsylvania,Salary Other,1,12702379,29461,0.0079,0.0339
Georgia,Salary Non-union,5,9687653,68782,0.0516,0.0727
Georgia,Non-union,1,9687653,68782,0.0103,0.0145
Indiana,NA,NA,6483802,20266,NA,NA
Illinois,Salary Non-union,6,12830632,36586,0.0468,0.164
Illinois,Salary Other,1,12830632,36586,0.0078,0.0273
Louisiana,Salary Non-union,1,4533372,9513,0.0221,0.1051
Maryland,Salary Non-union,1,5773552,13274,0.0173,0.0753
Texas,Salary Union,2,25145561,86419,0.008,0.0231
Florida,Hourly Other,1,18801310,46533,0.0053,0.0215
Florida,Unknown,1,18801310,46533,0.0053,0.0215
Oklahoma,Salary Non-union,1,3751351,8554,0.0267,0.1169
Iowa,Salary Non-union,1,3046355,7809,0.0328,0.1281
California,Salary Non-union,1,37253956,110781,0.0027,0.009
California,Unknown,1,37253956,110781,0.0027,0.009
Wisconsin,Salary Non-union,3,5686986,11819,0.0528,0.2538
Michigan,Salary Non-union,6,9883640,60017,0.0607,0.1
Michigan,Salary Other,2,9883640,60017,0.0202,0.0333
Mississippi,NA,NA,2967297,17188,NA,NA
Maine,Salary Non-union,2,1328361,2387,0.1506,0.8379
Nevada,NA,NA,2700551,7302,NA,NA
Minnesota,Salary Non-union,2,5303925,10881,0.0377,0.1838
Minnesota,Unknown,1,5303925,10881,0.0189,0.0919
Tennessee,NA,NA,6346105,39193,NA,NA
Kentucky,Salary Non-union,4,4339367,12082,0.0922,0.3311
Arizona,Salary Non-union,2,6392017,24762,0.0313,0.0808
Arizona,Hourly Other,1,6392017,24762,0.0156,0.0404
New Mexico,NA,NA,2059179,2122,NA,NA
Virginia,NA,NA,8001024,16696,NA,NA
Wyoming,NA,NA,563626,756,NA,NA
Missouri,Salary Non-union,2,5988927,30140,0.0334,0.0664
Missouri,Salary Other,1,5988927,30140,0.0167,0.0332
Missouri,Hourly Non-union,2,5988927,30140,0.0334,0.0664
Washington,Salary Non-union,1,6724540,18780,0.0149,0.0532
Washington,Hourly Other,1,6724540,18780,0.0149,0.0532
Idaho,NA,NA,1567582,2345,NA,NA
West Virginia,NA,NA,1852994,3558,NA,NA
Massachusetts,Salary Non-union,2,6547629,27050,0.0305,0.0739
Massachusetts,Unknown,1,6547629,27050,0.0153,0.037
North Carolina,Salary Non-union,1,9535483,22713,0.0105,0.044
Oregon,Salary Non-union,1,3831074,15289,0.0261,0.0654
Oregon,Unknown,1,3831074,15289,0.0261,0.0654
Rhode Island,Salary Non-union,7,1052567,4223,0.665,1.6576
Rhode Island,Salary Union,4,1052567,4223,0.38,0.9472
Colorado,NA,NA,5029196,12893,NA,NA
Connecticut,Salary Non-union,4,3574097,14366,0.1119,0.2784
New Hampshire,NA,NA,1316470,3257,NA,NA
New Jersey,Salary Non-union,1,8791894,25601,0.0114,0.0391
Alabama,Hourly Other,1,4779736,19688,0.0209,0.0508
Alaska,NA,NA,710231,1193,NA,NA
South Carolina,NA,NA,4625364,8448,NA,NA
Kansas,Salary Non-union,1,2853118,7854,0.035,0.1273
Kansas,Salary Other,1,2853118,7854,0.035,0.1273
Delaware,NA,NA,897934,8224,NA,NA
Utah,NA,NA,2763885,11502,NA,NA
Nebraska,NA,NA,1826341,4084,NA,NA
Montana,NA,NA,989415,1110,NA,NA
North Dakota,NA,NA,672591,829,NA,NA
South Dakota,NA,NA,814180,1257,NA,NA
Hawaii,NA,NA,1360301,230,NA,NA
Vermont,NA,NA,625741,686,NA,NA
Puerto Rico,NA,NA,3725789,728,NA,NA
