STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,30,11536504,51710,0.26,0.5802
Arkansas,9,2915918,6972,0.3087,1.2909
New York,15,19378102,38153,0.0774,0.3932
Pennsylvania,18,12702379,29461,0.1417,0.611
Georgia,54,9687653,68782,0.5574,0.7851
Indiana,12,6483802,20266,0.1851,0.5921
Illinois,16,12830632,36586,0.1247,0.4373
Louisiana,7,4533372,9513,0.1544,0.7358
Maryland,5,5773552,13274,0.0866,0.3767
Texas,42,25145561,86419,0.167,0.486
Florida,60,18801310,46533,0.3191,1.2894
Oklahoma,7,3751351,8554,0.1866,0.8183
Iowa,6,3046355,7809,0.197,0.7683
California,181,37253956,110781,0.4859,1.6339
Wisconsin,13,5686986,11819,0.2286,1.0999
Michigan,16,9883640,60017,0.1619,0.2666
Mississippi,7,2967297,17188,0.2359,0.4073
Maine,1,1328361,2387,0.0753,0.4189
Nevada,8,2700551,7302,0.2962,1.0956
Minnesota,13,5303925,10881,0.2451,1.1947
Tennessee,38,6346105,39193,0.5988,0.9696
Kentucky,9,4339367,12082,0.2074,0.7449
Arizona,26,6392017,24762,0.4068,1.05
New Mexico,4,2059179,2122,0.1943,1.885
Virginia,13,8001024,16696,0.1625,0.7786
Wyoming,2,563626,756,0.3548,2.6455
Missouri,23,5988927,30140,0.384,0.7631
Washington,14,6724540,18780,0.2082,0.7455
West Virginia,1,1852994,3558,0.054,0.2811
Massachusetts,5,6547629,27050,0.0764,0.1848
North Carolina,6,9535483,22713,0.0629,0.2642
Oregon,30,3831074,15289,0.7831,1.9622
Rhode Island,2,1052567,4223,0.19,0.4736
Colorado,13,5029196,12893,0.2585,1.0083
Connecticut,14,3574097,14366,0.3917,0.9745
New Hampshire,1,1316470,3257,0.076,0.307
New Jersey,12,8791894,25601,0.1365,0.4687
Alabama,8,4779736,19688,0.1674,0.4063
Alaska,1,710231,1193,0.1408,0.8382
South Carolina,4,4625364,8448,0.0865,0.4735
Kansas,2,2853118,7854,0.0701,0.2546
Delaware,3,897934,8224,0.3341,0.3648
Utah,55,2763885,11502,1.99,4.7818
Nebraska,1,1826341,4084,0.0548,0.2449
North Dakota,1,672591,829,0.1487,1.2063
