STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,1183,11536504,51710,10.2544,22.8776
Arkansas,78,2915918,6972,2.675,11.1876
New York,573,19378102,38153,2.9569,15.0185
Pennsylvania,513,12702379,29461,4.0386,17.4129
Georgia,941,9687653,68782,9.7134,13.6809
Indiana,407,6483802,20266,6.2772,20.0829
Illinois,659,12830632,36586,5.1361,18.0124
Louisiana,157,4533372,9513,3.4632,16.5037
Maryland,242,5773552,13274,4.1915,18.2311
Texas,1163,25145561,86419,4.6251,13.4577
Florida,823,18801310,46533,4.3774,17.6864
Oklahoma,116,3751351,8554,3.0922,13.5609
Iowa,116,3046355,7809,3.8078,14.8547
California,2652,37253956,110781,7.1187,23.9391
Wisconsin,213,5686986,11819,3.7454,18.0218
Michigan,1467,9883640,60017,14.8427,24.4431
Mississippi,119,2967297,17188,4.0104,6.9234
Maine,28,1328361,2387,2.1079,11.7302
Nevada,102,2700551,7302,3.777,13.9688
Minnesota,199,5303925,10881,3.7519,18.2888
Tennessee,467,6346105,39193,7.3588,11.9154
Kentucky,216,4339367,12082,4.9777,17.8778
Arizona,521,6392017,24762,8.1508,21.0403
New Mexico,28,2059179,2122,1.3598,13.1951
Virginia,255,8001024,16696,3.1871,15.2731
Wyoming,12,563626,756,2.1291,15.873
Missouri,514,5988927,30140,8.5825,17.0537
Washington,135,6724540,18780,2.0076,7.1885
Idaho,39,1567582,2345,2.4879,16.6311
West Virginia,88,1852994,3558,4.7491,24.733
Massachusetts,405,6547629,27050,6.1854,14.9723
North Carolina,284,9535483,22713,2.9783,12.5039
Oregon,196,3831074,15289,5.1161,12.8197
Rhode Island,55,1052567,4223,5.2253,13.0239
Colorado,186,5029196,12893,3.6984,14.4264
Connecticut,191,3574097,14366,5.344,13.2953
New Hampshire,59,1316470,3257,4.4817,18.1148
New Jersey,375,8791894,25601,4.2653,14.6479
Alabama,202,4779736,19688,4.2262,10.2601
Alaska,20,710231,1193,2.816,16.7645
South Carolina,118,4625364,8448,2.5512,13.9678
Kansas,86,2853118,7854,3.0142,10.9498
Delaware,112,897934,8224,12.4731,13.6187
Utah,302,2763885,11502,10.9266,26.2563
Nebraska,54,1826341,4084,2.9567,13.2223
Montana,22,989415,1110,2.2235,19.8198
North Dakota,26,672591,829,3.8656,31.3631
South Dakota,27,814180,1257,3.3162,21.4797
Hawaii,3,1360301,230,0.2205,13.0435
Vermont,9,625741,686,1.4383,13.1195
