STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,772,11536504,51710,6.6918,14.9294
Arkansas,64,2915918,6972,2.1948,9.1796
New York,361,19378102,38153,1.8629,9.4619
Pennsylvania,372,12702379,29461,2.9286,12.6269
Georgia,826,9687653,68782,8.5263,12.009
Indiana,233,6483802,20266,3.5936,11.4971
Illinois,475,12830632,36586,3.7021,12.9831
Louisiana,112,4533372,9513,2.4706,11.7734
Maryland,192,5773552,13274,3.3255,14.4644
Texas,1167,25145561,86419,4.641,13.504
Florida,621,18801310,46533,3.303,13.3454
Oklahoma,104,3751351,8554,2.7723,12.1581
Iowa,81,3046355,7809,2.6589,10.3726
California,1840,37253956,110781,4.9391,16.6093
Wisconsin,159,5686986,11819,2.7959,13.4529
Michigan,1134,9883640,60017,11.4735,18.8946
Mississippi,171,2967297,17188,5.7628,9.9488
Maine,22,1328361,2387,1.6562,9.2166
Nevada,86,2700551,7302,3.1845,11.7776
Minnesota,108,5303925,10881,2.0362,9.9256
Tennessee,553,6346105,39193,8.714,14.1097
Kentucky,136,4339367,12082,3.1341,11.2564
Arizona,293,6392017,24762,4.5838,11.8326
New Mexico,25,2059179,2122,1.2141,11.7813
Virginia,222,8001024,16696,2.7746,13.2966
Wyoming,5,563626,756,0.8871,6.6138
Missouri,487,5988927,30140,8.1317,16.1579
Washington,174,6724540,18780,2.5875,9.2652
Idaho,52,1567582,2345,3.3172,22.1748
West Virginia,36,1852994,3558,1.9428,10.118
Massachusetts,342,6547629,27050,5.2233,12.6433
North Carolina,236,9535483,22713,2.475,10.3905
Oregon,129,3831074,15289,3.3672,8.4374
Rhode Island,39,1052567,4223,3.7052,9.2351
Colorado,177,5029196,12893,3.5194,13.7284
Connecticut,153,3574097,14366,4.2808,10.6501
New Hampshire,57,1316470,3257,4.3298,17.5008
New Jersey,370,8791894,25601,4.2084,14.4526
Alabama,217,4779736,19688,4.54,11.0219
Alaska,5,710231,1193,0.704,4.1911
South Carolina,103,4625364,8448,2.2269,12.1922
Kansas,92,2853118,7854,3.2245,11.7138
Delaware,130,897934,8224,14.4777,15.8074
Utah,166,2763885,11502,6.006,14.4323
Nebraska,51,1826341,4084,2.7925,12.4878
Montana,17,989415,1110,1.7182,15.3153
North Dakota,4,672591,829,0.5947,4.8251
South Dakota,7,814180,1257,0.8598,5.5688
Hawaii,3,1360301,230,0.2205,13.0435
Vermont,7,625741,686,1.1187,10.2041
Puerto Rico,9,3725789,728,0.2416,12.3626
