STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,4163,11536504,51710,36.0855,80.5067
Arkansas,218,2915918,6972,7.4762,31.2679
New York,1828,19378102,38153,9.4333,47.9124
Pennsylvania,1474,12702379,29461,11.6041,50.0322
Georgia,3052,9687653,68782,31.504,44.3721
Indiana,1553,6483802,20266,23.952,76.6308
Illinois,2069,12830632,36586,16.1255,56.5517
Louisiana,445,4533372,9513,9.8161,46.7781
Maryland,793,5773552,13274,13.735,59.7408
Texas,3007,25145561,86419,11.9584,34.7956
Florida,2539,18801310,46533,13.5044,54.5634
Oklahoma,358,3751351,8554,9.5432,41.8518
Iowa,258,3046355,7809,8.4691,33.0388
California,10178,37253956,110781,27.3206,91.875
Wisconsin,587,5686986,11819,10.3218,49.6658
Michigan,6032,9883640,60017,61.0301,100.5049
Mississippi,342,2967297,17188,11.5256,19.8976
Maine,86,1328361,2387,6.4741,36.0285
Nevada,278,2700551,7302,10.2942,38.0718
Minnesota,442,5303925,10881,8.3335,40.6213
Tennessee,1263,6346105,39193,19.902,32.2251
Kentucky,647,4339367,12082,14.91,53.5507
Arizona,1379,6392017,24762,21.5738,55.6902
New Mexico,79,2059179,2122,3.8365,37.229
Virginia,756,8001024,16696,9.4488,45.2803
Wyoming,22,563626,756,3.9033,29.1005
Missouri,1495,5988927,30140,24.9627,49.6019
Washington,338,6724540,18780,5.0264,17.9979
Idaho,70,1567582,2345,4.4655,29.8507
West Virginia,234,1852994,3558,12.6282,65.7673
Massachusetts,829,6547629,27050,12.6611,30.647
North Carolina,718,9535483,22713,7.5298,31.6119
Oregon,442,3831074,15289,11.5372,28.9097
Rhode Island,57,1052567,4223,5.4153,13.4975
Colorado,483,5029196,12893,9.6039,37.4622
Connecticut,472,3574097,14366,13.2061,32.8554
New Hampshire,103,1316470,3257,7.824,31.6242
New Jersey,1110,8791894,25601,12.6253,43.3577
Alabama,661,4779736,19688,13.8292,33.5738
Alaska,41,710231,1193,5.7728,34.3671
South Carolina,369,4625364,8448,7.9778,43.679
Kansas,271,2853118,7854,9.4984,34.5047
Delaware,271,897934,8224,30.1804,32.9523
Utah,300,2763885,11502,10.8543,26.0824
Nebraska,165,1826341,4084,9.0345,40.4016
Montana,47,989415,1110,4.7503,42.3423
North Dakota,55,672591,829,8.1773,66.345
South Dakota,62,814180,1257,7.615,49.3238
Hawaii,21,1360301,230,1.5438,91.3043
Vermont,29,625741,686,4.6345,42.2741
Puerto Rico,3,3725789,728,0.0805,4.1209
