STATE,CENSUS2010POP,STD_POP,CASES,rates
Alabama,4779736,47.79736,97,2.0294
Alaska,710231,7.10231,5,0.704
Arizona,6392017,63.92017,143,2.2372
Arkansas,2915918,29.15918,34,1.166
California,37253956,372.53956,478,1.2831
Colorado,5029196,50.29196,57,1.1334
Connecticut,3574097,35.74097,101,2.8259
Delaware,897934,8.97934,33,3.6751
Florida,18801310,188.0131,261,1.3882
Georgia,9687653,96.87653,382,3.9432
Hawaii,1360301,13.60301,5,0.3676
Idaho,1567582,15.67582,9,0.5741
Illinois,12830632,128.30632,204,1.5899
Indiana,6483802,64.83802,102,1.5732
Iowa,3046355,30.46355,26,0.8535
Kansas,2853118,28.53118,46,1.6123
Kentucky,4339367,43.39367,73,1.6823
Louisiana,4533372,45.33372,48,1.0588
Maine,1328361,13.28361,27,2.0326
Maryland,5773552,57.73552,70,1.2124
Massachusetts,6547629,65.47629,164,2.5047
Michigan,9883640,98.8364,314,3.177
Minnesota,5303925,53.03925,63,1.1878
Mississippi,2967297,29.67297,66,2.2242
Missouri,5988927,59.88927,175,2.9221
Montana,989415,9.89415,3,0.3032
Nebraska,1826341,18.26341,14,0.7666
Nevada,2700551,27.00551,28,1.0368
New Hampshire,1316470,13.1647,25,1.899
New Jersey,8791894,87.91894,124,1.4104
New Mexico,2059179,20.59179,5,0.2428
New York,19378102,193.78102,190,0.9805
North Carolina,9535483,95.35483,115,1.206
North Dakota,672591,6.72591,7,1.0408
Ohio,11536504,115.36504,377,3.2679
Oklahoma,3751351,37.51351,37,0.9863
Oregon,3831074,38.31074,63,1.6444
Pennsylvania,12702379,127.02379,208,1.6375
Rhode Island,1052567,10.52567,29,2.7552
South Carolina,4625364,46.25364,33,0.7135
South Dakota,814180,8.1418,2,0.2456
Tennessee,6346105,63.46105,198,3.12
Texas,25145561,251.45561,371,1.4754
Utah,2763885,27.63885,33,1.194
Vermont,625741,6.25741,4,0.6392
Virginia,8001024,80.01024,113,1.4123000000000001
Washington,6724540,67.2454,82,1.2194
West Virginia,1852994,18.52994,29,1.565
Wisconsin,5686986,56.86986,63,1.1078
Wyoming,563626,5.63626,6,1.0645
