STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,8915,11536504,51710,77.2764,172.4038
Arkansas,949,2915918,6972,32.5455,136.1159
New York,3931,19378102,38153,20.2858,103.0325
Pennsylvania,3755,12702379,29461,29.5614,127.4566
Georgia,12200,9687653,68782,125.9335,177.372
Indiana,3498,6483802,20266,53.9498,172.6044
Illinois,4822,12830632,36586,37.5819,131.799
Louisiana,1435,4533372,9513,31.6541,150.8462
Maryland,1861,5773552,13274,32.2332,140.1989
Texas,10731,25145561,86419,42.6755,124.1741
Florida,6751,18801310,46533,35.9071,145.0798
Oklahoma,1162,3751351,8554,30.9755,135.8429
Iowa,576,3046355,7809,18.9078,73.761
California,17973,37253956,110781,48.2445,162.239
Wisconsin,1256,5686986,11819,22.0855,106.2696
Michigan,11515,9883640,60017,116.5057,191.8623
Mississippi,1962,2967297,17188,66.1208,114.1494
Maine,181,1328361,2387,13.6258,75.8274
Nevada,891,2700551,7302,32.9933,122.0214
Minnesota,849,5303925,10881,16.007,78.0259
Tennessee,4631,6346105,39193,72.9739,118.1589
Kentucky,1728,4339367,12082,39.8215,143.0227
Arizona,3005,6392017,24762,47.0118,121.3553
New Mexico,190,2059179,2122,9.227,89.5382
Virginia,1901,8001024,16696,23.7595,113.8596
Wyoming,69,563626,756,12.2422,91.2698
Missouri,3742,5988927,30140,62.482,124.1539
Washington,975,6724540,18780,14.4991,51.9169
Idaho,187,1567582,2345,11.9292,79.7441
West Virginia,585,1852994,3558,31.5705,164.4182
Massachusetts,1749,6547629,27050,26.712,64.658
North Carolina,1977,9535483,22713,20.7331,87.0427
Oregon,1025,3831074,15289,26.7549,67.0417
Rhode Island,206,1052567,4223,19.5712,48.7805
Colorado,1135,5029196,12893,22.5682,88.0323
Connecticut,1287,3574097,14366,36.0091,89.5865
New Hampshire,234,1316470,3257,17.7748,71.8453
New Jersey,2890,8791894,25601,32.8712,112.8862
Alabama,2772,4779736,19688,57.9948,140.7964
Alaska,96,710231,1193,13.5167,80.4694
South Carolina,1044,4625364,8448,22.5712,123.5795
Kansas,809,2853118,7854,28.3549,103.0048
Delaware,802,897934,8224,89.3161,97.5195
Utah,793,2763885,11502,28.6915,68.9445
Nebraska,350,1826341,4084,19.164,85.7003
Montana,93,989415,1110,9.3995,83.7838
North Dakota,110,672591,829,16.3547,132.69
South Dakota,126,814180,1257,15.4757,100.2387
Hawaii,51,1360301,230,3.7492,221.7391
Vermont,36,625741,686,5.7532,52.4781
Puerto Rico,42,3725789,728,1.1273,57.6923
