STATE,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,3959,11536504,51710,34.3172,76.5616
Arkansas,457,2915918,6972,15.6726,65.5479
New York,1757,19378102,38153,9.0669,46.0514
Pennsylvania,1618,12702379,29461,12.7378,54.9201
Georgia,5243,9687653,68782,54.1204,76.2263
Indiana,1794,6483802,20266,27.669,88.5226
Illinois,2130,12830632,36586,16.6009,58.219
Louisiana,591,4533372,9513,13.0367,62.1255
Maryland,879,5773552,13274,15.2246,66.2197
Texas,4764,25145561,86419,18.9457,55.1268
Florida,2810,18801310,46533,14.9458,60.3873
Oklahoma,511,3751351,8554,13.6218,59.7381
Iowa,321,3046355,7809,10.5372,41.1064
California,8018,37253956,110781,21.5225,72.377
Wisconsin,551,5686986,11819,9.6888,46.6198
Michigan,4762,9883640,60017,48.1806,79.3442
Mississippi,908,2967297,17188,30.6002,52.8276
Maine,71,1328361,2387,5.3449,29.7444
Nevada,402,2700551,7302,14.8859,55.0534
Minnesota,452,5303925,10881,8.522,41.5403
Tennessee,2302,6346105,39193,36.2742,58.735
Kentucky,762,4339367,12082,17.5602,63.069
Arizona,1434,6392017,24762,22.4342,57.9113
New Mexico,94,2059179,2122,4.5649,44.2978
Virginia,926,8001024,16696,11.5735,55.4624
Wyoming,27,563626,756,4.7904,35.7143
Missouri,1821,5988927,30140,30.4061,60.418
Washington,537,6724540,18780,7.9857,28.5942
Idaho,90,1567582,2345,5.7413,38.3795
West Virginia,277,1852994,3558,14.9488,77.8527
Massachusetts,884,6547629,27050,13.5011,32.6802
North Carolina,1089,9535483,22713,11.4205,47.9461
Oregon,504,3831074,15289,13.1556,32.9649
Rhode Island,110,1052567,4223,10.4506,26.0478
Colorado,466,5029196,12893,9.2659,36.1436
Connecticut,571,3574097,14366,15.9761,39.7466
New Hampshire,113,1316470,3257,8.5836,34.6945
New Jersey,1287,8791894,25601,14.6385,50.2715
Alabama,1214,4779736,19688,25.3989,61.6619
Alaska,60,710231,1193,8.448,50.2934
South Carolina,510,4625364,8448,11.0262,60.3693
Kansas,408,2853118,7854,14.3001,51.9481
Delaware,446,897934,8224,49.6696,54.2315
Utah,428,2763885,11502,15.4854,37.2109
Nebraska,169,1826341,4084,9.2535,41.381
Montana,37,989415,1110,3.7396,33.3333
North Dakota,42,672591,829,6.2445,50.6634
South Dakota,67,814180,1257,8.2291,53.3015
Hawaii,15,1360301,230,1.1027,65.2174
Vermont,26,625741,686,4.1551,37.9009
Puerto Rico,11,3725789,728,0.2952,15.1099
