STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,2679,4779736,5730,56.0491,467.5393
Alaska,94,710231,257,13.2351,365.7588
Arizona,2845,6392017,7456,44.5086,381.5719
Arkansas,911,2915918,2052,31.2423,443.9571
California,17141,37253956,40228,46.0112,426.0963
Colorado,1093,5029196,3198,21.7331,341.7761
Connecticut,1251,3574097,3431,35.0018,364.6167
Delaware,771,897934,2088,85.8638,369.2529
Florida,6468,18801310,14966,34.4019,432.1796
Georgia,11707,9687653,22416,120.8445,522.2609
Hawaii,50,1360301,85,3.6757,588.2353
Idaho,176,1567582,569,11.2275,309.3146
Illinois,4615,12830632,10670,35.9686,432.5211
Indiana,3331,6483802,7465,51.3742,446.2157
Iowa,550,3046355,1738,18.0544,316.4557
Kansas,777,2853118,2026,27.2334,383.5143
Kentucky,1652,4339367,3823,38.0701,432.1214
Louisiana,1390,4533372,2935,30.6615,473.5945
Maine,174,1328361,548,13.0988,317.5182
Maryland,1787,5773552,4495,30.9515,397.5528
Massachusetts,1690,6547629,5945,25.8109,284.2725
Michigan,10895,9883640,23231,110.2327,468.9854
Minnesota,810,5303925,2775,15.2717,291.8919
Mississippi,1902,2967297,4220,64.0987,450.7109
Missouri,3572,5988927,8960,59.6434,398.6607
Montana,91,989415,290,9.1974,313.7931
Nebraska,335,1826341,988,18.3427,339.0688
Nevada,857,2700551,2031,31.7343,421.9596
New Hampshire,223,1316470,735,16.9392,303.4014
New Jersey,2773,8791894,6690,31.5404,414.4993
New Mexico,180,2059179,508,8.7413,354.3307
New York,3789,19378102,9491,19.553,399.2203
North Carolina,1905,9535483,5321,19.978,358.0154
North Dakota,107,672591,264,15.9086,405.303
Ohio,8454,11536504,18596,73.2804,454.6139
Oklahoma,1115,3751351,2496,29.7226,446.7147
Oregon,1003,3831074,3046,26.1806,329.2843
Pennsylvania,3610,12702379,8980,28.4199,402.0045
Puerto Rico,42,3725789,117,1.1273,358.9744
Rhode Island,200,1052567,795,19.0012,251.5723
South Carolina,995,4625364,2399,21.5118,414.7561
South Dakota,122,814180,360,14.9844,338.8889
Tennessee,4449,6346105,10788,70.106,412.4027
Texas,10305,25145561,24161,40.9814,426.5138
Utah,768,2763885,2598,27.787,295.612
Vermont,35,625741,188,5.5934,186.1702
Virginia,1836,8001024,4923,22.9471,372.9433
Washington,946,6724540,3538,14.0679,267.3827
West Virginia,565,1852994,1245,30.4912,453.8153
Wisconsin,1205,5686986,3168,21.1887,380.3662
Wyoming,65,563626,179,11.5325,363.1285
