STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,559,4779736,5730,11.6952,97.5567
Alaska,36,710231,257,5.0688,140.0778
Arizona,864,6392017,7456,13.5169,115.8798
Arkansas,211,2915918,2052,7.2361,102.8265
California,5789,37253956,40228,15.5393,143.9047
Colorado,501,5029196,3198,9.9618,156.6604
Connecticut,376,3574097,3431,10.5201,109.589
Delaware,317,897934,2088,35.3033,151.8199
Florida,1756,18801310,14966,9.3398,117.3326
Georgia,2340,9687653,22416,24.1545,104.3897
Hawaii,7,1360301,85,0.5146,82.3529
Idaho,117,1567582,569,7.4637,205.6239
Illinois,1299,12830632,10670,10.1242,121.7432
Indiana,887,6483802,7465,13.6802,118.8212
Iowa,309,3046355,1738,10.1433,177.7906
Kansas,253,2853118,2026,8.8675,124.8766
Kentucky,392,4339367,3823,9.0336,102.5373
Louisiana,336,4533372,2935,7.4117,114.4804
Maine,58,1328361,548,4.3663,105.8394
Maryland,490,5773552,4495,8.487,109.01
Massachusetts,859,6547629,5945,13.1193,144.4912
Michigan,2967,9883640,23231,30.0193,127.7173
Minnesota,497,5303925,2775,9.3704,179.0991
Mississippi,502,2967297,4220,16.9178,118.9573
Missouri,1282,5988927,8960,21.4062,143.0804
Montana,51,989415,290,5.1546,175.8621
Nebraska,160,1826341,988,8.7607,161.9433
Nevada,224,2700551,2031,8.2946,110.2905
New Hampshire,115,1316470,735,8.7355,156.4626
New Jersey,791,8791894,6690,8.9969,118.2362
New Mexico,93,2059179,508,4.5164,183.0709
New York,1005,19378102,9491,5.1863,105.8898
North Carolina,656,9535483,5321,6.8796,123.2851
North Dakota,35,672591,264,5.2038,132.5758
Ohio,2344,11536504,18596,20.3181,126.0486
Oklahoma,271,3751351,2496,7.2241,108.5737
Oregon,423,3831074,3046,11.0413,138.8707
Pennsylvania,1104,12702379,8980,8.6913,122.9399
Puerto Rico,40,3725789,117,1.0736,341.8803
Rhode Island,171,1052567,795,16.246,215.0943
South Carolina,319,4625364,2399,6.8968,132.9721
South Dakota,46,814180,360,5.6499,127.7778
Tennessee,1335,6346105,10788,21.0365,123.7486
Texas,2749,25145561,24161,10.9323,113.7784
Utah,610,2763885,2598,22.0704,234.796
Vermont,27,625741,188,4.3149,143.617
Virginia,653,8001024,4923,8.1615,132.6427
Washington,449,6724540,3538,6.677,126.9079
West Virginia,131,1852994,1245,7.0696,105.2209
Wisconsin,443,5686986,3168,7.7897,139.8359
Wyoming,27,563626,179,4.7904,150.838
