STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,93,4779736,5730,1.9457,16.2304
Alaska,5,710231,257,0.704,19.4553
Arizona,139,6392017,7456,2.1746,18.6427
Arkansas,31,2915918,2052,1.0631,15.1072
California,446,37253956,40228,1.1972,11.0868
Colorado,54,5029196,3198,1.0737,16.8856
Connecticut,94,3574097,3431,2.63,27.3973
Delaware,30,897934,2088,3.341,14.3678
Florida,238,18801310,14966,1.2659,15.9027
Georgia,352,9687653,22416,3.6335,15.7031
Hawaii,5,1360301,85,0.3676,58.8235
Idaho,8,1567582,569,0.5103,14.0598
Illinois,191,12830632,10670,1.4886,17.9007
Indiana,96,6483802,7465,1.4806,12.86
Iowa,26,3046355,1738,0.8535,14.9597
Kansas,41,2853118,2026,1.437,20.2369
Kentucky,66,4339367,3823,1.521,17.2639
Louisiana,45,4533372,2935,0.9926,15.3322
Maine,24,1328361,548,1.8067,43.7956
Maryland,65,5773552,4495,1.1258,14.4605
Massachusetts,156,6547629,5945,2.3825,26.2405
Michigan,282,9883640,23231,2.8532,12.139
Minnesota,56,5303925,2775,1.0558,20.1802
Mississippi,64,2967297,4220,2.1568,15.1659
Missouri,164,5988927,8960,2.7384,18.3036
Montana,3,989415,290,0.3032,10.3448
Nebraska,12,1826341,988,0.6571,12.1457
Nevada,27,2700551,2031,0.9998,13.2939
New Hampshire,24,1316470,735,1.8231,32.6531
New Jersey,118,8791894,6690,1.3421,17.6383
New Mexico,5,2059179,508,0.2428,9.8425
New York,174,19378102,9491,0.8979,18.3332
North Carolina,108,9535483,5321,1.1326,20.2969
North Dakota,6,672591,264,0.8921,22.7273
Ohio,350,11536504,18596,3.0338,18.8213
Oklahoma,35,3751351,2496,0.933,14.0224
Oregon,60,3831074,3046,1.5661,19.698
Pennsylvania,195,12702379,8980,1.5351,21.7149
Rhode Island,29,1052567,795,2.7552,36.478
South Carolina,32,4625364,2399,0.6918,13.3389
South Dakota,2,814180,360,0.2456,5.5556
Tennessee,187,6346105,10788,2.9467,17.3341
Texas,352,25145561,24161,1.3998,14.5689
Utah,28,2763885,2598,1.0131,10.7775
Vermont,4,625741,188,0.6392,21.2766
Virginia,106,8001024,4923,1.3248,21.5316
Washington,81,6724540,3538,1.2045,22.8943
West Virginia,22,1852994,1245,1.1873,17.6707
Wisconsin,62,5686986,3168,1.0902,19.5707
Wyoming,5,563626,179,0.8871,27.933
