STATE,EECLASS,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,75,4779736,5730,1.5691,13.089
Alabama,Salary Union,4,4779736,5730,0.0837,0.6981
Alabama,Salary Other,7,4779736,5730,0.1465,1.2216
Alabama,Hourly Non-union,57,4779736,5730,1.1925,9.9476
Alabama,Hourly Union,205,4779736,5730,4.2889,35.7766
Alabama,Hourly Other,14,4779736,5730,0.2929,2.4433
Alabama,Non-union,94,4779736,5730,1.9666,16.4049
Alabama,Union,39,4779736,5730,0.8159,6.8063
Alabama,Unknown,140,4779736,5730,2.929,24.4328
Alaska,Salary Non-union,16,710231,257,2.2528,62.2568
Alaska,Hourly Non-union,20,710231,257,2.816,77.821
Alaska,Hourly Union,2,710231,257,0.2816,7.7821
Alaska,Unknown,3,710231,257,0.4224,11.6732
Alaska,Salary Union,0,710231,257,0,0
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Arizona,Salary Non-union,219,6392017,7456,3.4261,29.3723
Arizona,Salary Union,6,6392017,7456,0.0939,0.8047
Arizona,Salary Other,105,6392017,7456,1.6427,14.0826
Arizona,Hourly Non-union,488,6392017,7456,7.6345,65.4506
Arizona,Hourly Union,87,6392017,7456,1.3611,11.6685
Arizona,Hourly Other,59,6392017,7456,0.923,7.9131
Arizona,Non-union,116,6392017,7456,1.8148,15.5579
Arizona,Union,23,6392017,7456,0.3598,3.0848
Arizona,Unknown,216,6392017,7456,3.3792,28.97
Arkansas,Salary Non-union,33,2915918,2052,1.1317,16.0819
Arkansas,Salary Union,1,2915918,2052,0.0343,0.4873
Arkansas,Salary Other,11,2915918,2052,0.3772,5.3606
Arkansas,Hourly Non-union,59,2915918,2052,2.0234,28.7524
Arkansas,Hourly Union,46,2915918,2052,1.5775,22.4172
Arkansas,Hourly Other,13,2915918,2052,0.4458,6.3353
Arkansas,Non-union,26,2915918,2052,0.8917,12.6706
Arkansas,Union,1,2915918,2052,0.0343,0.4873
Arkansas,Unknown,24,2915918,2052,0.8231,11.6959
California,Salary Non-union,382,37253956,40228,1.0254,9.4959
California,Salary Union,5,37253956,40228,0.0134,0.1243
California,Salary Other,65,37253956,40228,0.1745,1.6158
California,Hourly Non-union,294,37253956,40228,0.7892,7.3083
California,Hourly Union,167,37253956,40228,0.4483,4.1513
California,Hourly Other,41,37253956,40228,0.1101,1.0192
California,Non-union,312,37253956,40228,0.8375,7.7558
California,Union,818,37253956,40228,2.1957,20.3341
California,Unknown,7700,37253956,40228,20.6689,191.409
Colorado,Salary Non-union,126,5029196,3198,2.5054,39.3996
Colorado,Salary Other,11,5029196,3198,0.2187,3.4396
Colorado,Hourly Non-union,123,5029196,3198,2.4457,38.4615
Colorado,Hourly Union,18,5029196,3198,0.3579,5.6285
Colorado,Hourly Other,3,5029196,3198,0.0597,0.9381
Colorado,Non-union,48,5029196,3198,0.9544,15.0094
Colorado,Union,48,5029196,3198,0.9544,15.0094
Colorado,Unknown,88,5029196,3198,1.7498,27.5172
Colorado,Salary Union,0,5029196,3198,0,0
Connecticut,Salary Non-union,92,3574097,3431,2.5741,26.8143
Connecticut,Salary Union,1,3574097,3431,0.028,0.2915
Connecticut,Salary Other,17,3574097,3431,0.4756,4.9548
Connecticut,Hourly Non-union,54,3574097,3431,1.5109,15.7389
Connecticut,Hourly Union,86,3574097,3431,2.4062,25.0656
Connecticut,Hourly Other,10,3574097,3431,0.2798,2.9146
Connecticut,Non-union,40,3574097,3431,1.1192,11.6584
Connecticut,Union,3,3574097,3431,0.0839,0.8744
Connecticut,Unknown,162,3574097,3431,4.5326,47.2166
Delaware,Salary Non-union,27,897934,2088,3.0069,12.931
Delaware,Salary Union,2,897934,2088,0.2227,0.9579
Delaware,Salary Other,12,897934,2088,1.3364,5.7471
Delaware,Hourly Non-union,9,897934,2088,1.0023,4.3103
Delaware,Hourly Union,123,897934,2088,13.6981,58.908
Delaware,Hourly Other,2,897934,2088,0.2227,0.9579
Delaware,Non-union,9,897934,2088,1.0023,4.3103
Delaware,Union,13,897934,2088,1.4478,6.2261
Delaware,Unknown,63,897934,2088,7.0161,30.1724
Florida,Salary Non-union,513,18801310,14966,2.7285,34.2777
Florida,Salary Union,10,18801310,14966,0.0532,0.6682
Florida,Salary Other,64,18801310,14966,0.3404,4.2764
Florida,Hourly Non-union,638,18801310,14966,3.3934,42.63
Florida,Hourly Union,541,18801310,14966,2.8775,36.1486
Florida,Hourly Other,40,18801310,14966,0.2128,2.6727
Florida,Non-union,356,18801310,14966,1.8935,23.7873
Florida,Union,52,18801310,14966,0.2766,3.4745
Florida,Unknown,237,18801310,14966,1.2606,15.8359
Georgia,Salary Non-union,269,9687653,22416,2.7767,12.0004
Georgia,Salary Union,1,9687653,22416,0.0103,0.0446
Georgia,Salary Other,60,9687653,22416,0.6193,2.6767
Georgia,Hourly Non-union,175,9687653,22416,1.8064,7.8069
Georgia,Hourly Union,300,9687653,22416,3.0967,13.3833
Georgia,Hourly Other,30,9687653,22416,0.3097,1.3383
Georgia,Non-union,1871,9687653,22416,19.3132,83.4672
Georgia,Union,36,9687653,22416,0.3716,1.606
Georgia,Unknown,203,9687653,22416,2.0955,9.056
Hawaii,Hourly Non-union,2,1360301,85,0.147,23.5294
Hawaii,Hourly Union,4,1360301,85,0.2941,47.0588
Hawaii,Hourly Other,1,1360301,85,0.0735,11.7647
Hawaii,Non-union,2,1360301,85,0.147,23.5294
Hawaii,Union,8,1360301,85,0.5881,94.1176
Hawaii,Unknown,2,1360301,85,0.147,23.5294
Hawaii,Salary Non-union,0,1360301,85,0,0
Hawaii,Salary Union,0,1360301,85,0,0
Hawaii,Salary Other,0,1360301,85,0,0
Idaho,Salary Non-union,5,1567582,569,0.319,8.7873
Idaho,Salary Other,2,1567582,569,0.1276,3.5149
Idaho,Hourly Non-union,11,1567582,569,0.7017,19.3322
Idaho,Hourly Union,4,1567582,569,0.2552,7.0299
Idaho,Hourly Other,2,1567582,569,0.1276,3.5149
Idaho,Non-union,5,1567582,569,0.319,8.7873
Idaho,Union,4,1567582,569,0.2552,7.0299
Idaho,Unknown,36,1567582,569,2.2965,63.2689
Idaho,Salary Union,0,1567582,569,0,0
Illinois,Salary Non-union,445,12830632,10670,3.4683,41.7057
Illinois,Salary Union,36,12830632,10670,0.2806,3.3739
Illinois,Salary Other,133,12830632,10670,1.0366,12.4649
Illinois,Hourly Non-union,246,12830632,10670,1.9173,23.0553
Illinois,Hourly Union,545,12830632,10670,4.2476,51.0778
Illinois,Hourly Other,105,12830632,10670,0.8184,9.8407
