STATE,EECLASS,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,191,11536504,51710,1.6556,3.6937
Ohio,Salary Union,18,11536504,51710,0.156,0.3481
Ohio,Salary Other,65,11536504,51710,0.5634,1.257
Ohio,Hourly Non-union,217,11536504,51710,1.881,4.1965
Ohio,Hourly Union,442,11536504,51710,3.8313,8.5477
Ohio,Hourly Other,43,11536504,51710,0.3727,0.8316
Ohio,Non-union,70,11536504,51710,0.6068,1.3537
Ohio,Union,102,11536504,51710,0.8841,1.9725
Ohio,Unknown,36,11536504,51710,0.3121,0.6962
Arkansas,Salary Non-union,14,2915918,6972,0.4801,2.008
Arkansas,Salary Other,7,2915918,6972,0.2401,1.004
Arkansas,Hourly Non-union,22,2915918,6972,0.7545,3.1555
Arkansas,Hourly Union,13,2915918,6972,0.4458,1.8646
Arkansas,Hourly Other,5,2915918,6972,0.1715,0.7172
Arkansas,Non-union,10,2915918,6972,0.3429,1.4343
Arkansas,Unknown,7,2915918,6972,0.2401,1.004
Arkansas,Salary Union,0,2915918,6972,0,0
Arkansas,Union,0,2915918,6972,0,0
New York,Salary Non-union,134,19378102,38153,0.6915,3.5122
New York,Salary Union,4,19378102,38153,0.0206,0.1048
New York,Salary Other,53,19378102,38153,0.2735,1.3891
New York,Hourly Non-union,58,19378102,38153,0.2993,1.5202
New York,Hourly Union,171,19378102,38153,0.8824,4.482
New York,Hourly Other,15,19378102,38153,0.0774,0.3932
New York,Non-union,47,19378102,38153,0.2425,1.2319
New York,Union,15,19378102,38153,0.0774,0.3932
New York,Unknown,76,19378102,38153,0.3922,1.992
Pennsylvania,Salary Non-union,131,12702379,29461,1.0313,4.4466
Pennsylvania,Salary Union,6,12702379,29461,0.0472,0.2037
Pennsylvania,Salary Other,24,12702379,29461,0.1889,0.8146
Pennsylvania,Hourly Non-union,89,12702379,29461,0.7007,3.0209
Pennsylvania,Hourly Union,108,12702379,29461,0.8502,3.6659
Pennsylvania,Hourly Other,21,12702379,29461,0.1653,0.7128
Pennsylvania,Non-union,59,12702379,29461,0.4645,2.0026
Pennsylvania,Union,19,12702379,29461,0.1496,0.6449
Pennsylvania,Unknown,57,12702379,29461,0.4487,1.9348
Georgia,Salary Non-union,91,9687653,68782,0.9393,1.323
Georgia,Salary Union,1,9687653,68782,0.0103,0.0145
Georgia,Salary Other,21,9687653,68782,0.2168,0.3053
Georgia,Hourly Non-union,63,9687653,68782,0.6503,0.9159
Georgia,Hourly Union,104,9687653,68782,1.0735,1.512
Georgia,Hourly Other,13,9687653,68782,0.1342,0.189
Georgia,Non-union,557,9687653,68782,5.7496,8.098
Georgia,Union,12,9687653,68782,0.1239,0.1745
Georgia,Unknown,79,9687653,68782,0.8155,1.1486
Indiana,Salary Non-union,37,6483802,20266,0.5707,1.8257
Indiana,Salary Union,2,6483802,20266,0.0308,0.0987
Indiana,Salary Other,15,6483802,20266,0.2313,0.7402
Indiana,Hourly Non-union,42,6483802,20266,0.6478,2.0724
Indiana,Hourly Union,219,6483802,20266,3.3776,10.8063
Indiana,Hourly Other,12,6483802,20266,0.1851,0.5921
