STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,203,4779736,5730,4.2471,35.4276
Alaska,5,710231,257,0.704,19.4553
Arizona,268,6392017,7456,4.1927,35.9442
Arkansas,62,2915918,2052,2.1263,30.2144
California,1689,37253956,40228,4.5337,41.9857
Colorado,166,5029196,3198,3.3007,51.9074
Connecticut,138,3574097,3431,3.8611,40.2215
Delaware,117,897934,2088,13.0299,56.0345
Florida,574,18801310,14966,3.053,38.3536
Georgia,753,9687653,22416,7.7728,33.5921
Hawaii,3,1360301,85,0.2205,35.2941
Idaho,46,1567582,569,2.9345,80.8436
Illinois,436,12830632,10670,3.3981,40.8622
Indiana,220,6483802,7465,3.3931,29.4709
Iowa,78,3046355,1738,2.5604,44.8792
Kansas,83,2853118,2026,2.9091,40.9674
Kentucky,126,4339367,3823,2.9036,32.9584
Louisiana,105,4533372,2935,2.3162,35.7751
Maine,22,1328361,548,1.6562,40.146
Maryland,172,5773552,4495,2.9791,38.2647
Massachusetts,321,6547629,5945,4.9025,53.995
Michigan,1029,9883640,23231,10.4111,44.2943
Minnesota,100,5303925,2775,1.8854,36.036
Mississippi,164,2967297,4220,5.5269,38.8626
Missouri,447,5988927,8960,7.4638,49.8884
Montana,15,989415,290,1.516,51.7241
Nebraska,48,1826341,988,2.6282,48.583
Nevada,79,2700551,2031,2.9253,38.8971
New Hampshire,54,1316470,735,4.1019,73.4694
New Jersey,345,8791894,6690,3.9241,51.5695
New Mexico,24,2059179,508,1.1655,47.2441
New York,348,19378102,9491,1.7958,36.6663
North Carolina,222,9535483,5321,2.3281,41.7215
North Dakota,4,672591,264,0.5947,15.1515
Ohio,708,11536504,18596,6.137,38.0727
Oklahoma,96,3751351,2496,2.5591,38.4615
Oregon,121,3831074,3046,3.1584,39.7242
Pennsylvania,342,12702379,8980,2.6924,38.0846
Puerto Rico,9,3725789,117,0.2416,76.9231
Rhode Island,38,1052567,795,3.6102,47.7987
South Carolina,92,4625364,2399,1.989,38.3493
South Dakota,7,814180,360,0.8598,19.4444
Tennessee,519,6346105,10788,8.1782,48.109
Texas,1083,25145561,24161,4.3069,44.8243
Utah,160,2763885,2598,5.789,61.5858
Vermont,7,625741,188,1.1187,37.234
Virginia,207,8001024,4923,2.5872,42.0475
Washington,168,6724540,3538,2.4983,47.4845
West Virginia,35,1852994,1245,1.8888,28.1124
Wisconsin,143,5686986,3168,2.5145,45.1389
Wyoming,4,563626,179,0.7097,22.3464
