STATE,EECLASS,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,53,4779736,5730,1.1088,9.2496
Alabama,Salary Union,5,4779736,5730,0.1046,0.8726
Alabama,Salary Other,6,4779736,5730,0.1255,1.0471
Alabama,Hourly Non-union,70,4779736,5730,1.4645,12.2164
Alabama,Hourly Union,89,4779736,5730,1.862,15.5323
Alabama,Hourly Other,10,4779736,5730,0.2092,1.7452
Alabama,Non-union,68,4779736,5730,1.4227,11.8674
Alabama,Union,12,4779736,5730,0.2511,2.0942
Alabama,Unknown,246,4779736,5730,5.1467,42.9319
Alaska,Salary Non-union,9,710231,257,1.2672,35.0195
Alaska,Salary Union,2,710231,257,0.2816,7.7821
Alaska,Hourly Non-union,20,710231,257,2.816,77.821
Alaska,Hourly Union,3,710231,257,0.4224,11.6732
Alaska,Unknown,2,710231,257,0.2816,7.7821
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Arizona,Salary Non-union,133,6392017,7456,2.0807,17.838
Arizona,Salary Union,1,6392017,7456,0.0156,0.1341
Arizona,Salary Other,73,6392017,7456,1.142,9.7908
Arizona,Hourly Non-union,312,6392017,7456,4.8811,41.8455
Arizona,Hourly Union,31,6392017,7456,0.485,4.1577
Arizona,Hourly Other,39,6392017,7456,0.6101,5.2307
Arizona,Non-union,82,6392017,7456,1.2829,10.9979
Arizona,Union,8,6392017,7456,0.1252,1.073
Arizona,Unknown,185,6392017,7456,2.8942,24.8122
Arkansas,Salary Non-union,34,2915918,2052,1.166,16.5692
Arkansas,Salary Other,9,2915918,2052,0.3087,4.386
Arkansas,Hourly Non-union,76,2915918,2052,2.6064,37.037
Arkansas,Hourly Union,27,2915918,2052,0.926,13.1579
Arkansas,Hourly Other,12,2915918,2052,0.4115,5.848
Arkansas,Non-union,27,2915918,2052,0.926,13.1579
Arkansas,Union,1,2915918,2052,0.0343,0.4873
Arkansas,Unknown,25,2915918,2052,0.8574,12.1832
Arkansas,Salary Union,0,2915918,2052,0,0
California,Salary Non-union,334,37253956,40228,0.8965,8.3027
California,Salary Union,13,37253956,40228,0.0349,0.3232
California,Salary Other,75,37253956,40228,0.2013,1.8644
California,Hourly Non-union,243,37253956,40228,0.6523,6.0406
California,Hourly Union,156,37253956,40228,0.4187,3.8779
California,Hourly Other,43,37253956,40228,0.1154,1.0689
California,Non-union,253,37253956,40228,0.6791,6.2892
California,Union,539,37253956,40228,1.4468,13.3986
California,Unknown,4135,37253956,40228,11.0995,102.7891
Colorado,Salary Non-union,105,5029196,3198,2.0878,32.833
Colorado,Salary Union,6,5029196,3198,0.1193,1.8762
Colorado,Salary Other,11,5029196,3198,0.2187,3.4396
Colorado,Hourly Non-union,122,5029196,3198,2.4258,38.1488
Colorado,Hourly Union,14,5029196,3198,0.2784,4.3777
Colorado,Hourly Other,17,5029196,3198,0.338,5.3158
Colorado,Non-union,54,5029196,3198,1.0737,16.8856
Colorado,Union,38,5029196,3198,0.7556,11.8824
Colorado,Unknown,134,5029196,3198,2.6644,41.9012
Connecticut,Salary Non-union,91,3574097,3431,2.5461,26.5229
Connecticut,Salary Union,3,3574097,3431,0.0839,0.8744
Connecticut,Salary Other,7,3574097,3431,0.1959,2.0402
Connecticut,Hourly Non-union,60,3574097,3431,1.6787,17.4876
Connecticut,Hourly Union,63,3574097,3431,1.7627,18.362
Connecticut,Hourly Other,10,3574097,3431,0.2798,2.9146
Connecticut,Non-union,26,3574097,3431,0.7275,7.578
Connecticut,Union,2,3574097,3431,0.056,0.5829
Connecticut,Unknown,114,3574097,3431,3.1896,33.2265
Delaware,Salary Non-union,21,897934,2088,2.3387,10.0575
Delaware,Salary Other,18,897934,2088,2.0046,8.6207
Delaware,Hourly Non-union,15,897934,2088,1.6705,7.1839
Delaware,Hourly Union,52,897934,2088,5.7911,24.9042
Delaware,Hourly Other,2,897934,2088,0.2227,0.9579
Delaware,Non-union,18,897934,2088,2.0046,8.6207
Delaware,Union,10,897934,2088,1.1137,4.7893
Delaware,Unknown,182,897934,2088,20.2688,87.1648
Delaware,Salary Union,0,897934,2088,0,0
Florida,Salary Non-union,355,18801310,14966,1.8882,23.7204
Florida,Salary Union,15,18801310,14966,0.0798,1.0023
Florida,Salary Other,60,18801310,14966,0.3191,4.0091
Florida,Hourly Non-union,408,18801310,14966,2.1701,27.2618
Florida,Hourly Union,288,18801310,14966,1.5318,19.2436
Florida,Hourly Other,38,18801310,14966,0.2021,2.5391
Florida,Non-union,306,18801310,14966,1.6275,20.4463
Florida,Union,28,18801310,14966,0.1489,1.8709
Florida,Unknown,259,18801310,14966,1.3776,17.3059
Georgia,Salary Non-union,298,9687653,22416,3.0761,13.2941
Georgia,Salary Union,8,9687653,22416,0.0826,0.3569
Georgia,Salary Other,52,9687653,22416,0.5368,2.3198
Georgia,Hourly Non-union,256,9687653,22416,2.6425,11.4204
Georgia,Hourly Union,223,9687653,22416,2.3019,9.9483
Georgia,Hourly Other,22,9687653,22416,0.2271,0.9814
Georgia,Non-union,1245,9687653,22416,12.8514,55.5407
Georgia,Union,26,9687653,22416,0.2684,1.1599
Georgia,Unknown,210,9687653,22416,2.1677,9.3683
Hawaii,Salary Non-union,1,1360301,85,0.0735,11.7647
Hawaii,Non-union,1,1360301,85,0.0735,11.7647
Hawaii,Union,3,1360301,85,0.2205,35.2941
Hawaii,Unknown,2,1360301,85,0.147,23.5294
Hawaii,Salary Union,0,1360301,85,0,0
Hawaii,Salary Other,0,1360301,85,0,0
Hawaii,Hourly Non-union,0,1360301,85,0,0
Hawaii,Hourly Union,0,1360301,85,0,0
Hawaii,Hourly Other,0,1360301,85,0,0
Idaho,Salary Non-union,6,1567582,569,0.3828,10.5448
Idaho,Salary Other,3,1567582,569,0.1914,5.2724
Idaho,Hourly Non-union,44,1567582,569,2.8069,77.3286
Idaho,Hourly Union,5,1567582,569,0.319,8.7873
Idaho,Hourly Other,5,1567582,569,0.319,8.7873
Idaho,Non-union,12,1567582,569,0.7655,21.0896
Idaho,Union,5,1567582,569,0.319,8.7873
Idaho,Unknown,37,1567582,569,2.3603,65.0264
Idaho,Salary Union,0,1567582,569,0,0
Illinois,Salary Non-union,299,12830632,10670,2.3304,28.0225
Illinois,Salary Union,21,12830632,10670,0.1637,1.9681
Illinois,Salary Other,101,12830632,10670,0.7872,9.4658
Illinois,Hourly Non-union,206,12830632,10670,1.6055,19.3065
Illinois,Hourly Union,254,12830632,10670,1.9796,23.8051
Illinois,Hourly Other,75,12830632,10670,0.5845,7.0291
Illinois,Non-union,182,12830632,10670,1.4185,17.0572
Illinois,Union,55,12830632,10670,0.4287,5.1546
Illinois,Unknown,107,12830632,10670,0.8339,10.0281
Indiana,Salary Non-union,75,6483802,7465,1.1567,10.0469
Indiana,Salary Union,10,6483802,7465,0.1542,1.3396
Indiana,Salary Other,36,6483802,7465,0.5552,4.8225
Indiana,Hourly Non-union,148,6483802,7465,2.2826,19.8259
Indiana,Hourly Union,404,6483802,7465,6.2309,54.1192
Indiana,Hourly Other,36,6483802,7465,0.5552,4.8225
Indiana,Non-union,56,6483802,7465,0.8637,7.5017
Indiana,Union,32,6483802,7465,0.4935,4.2867
Indiana,Unknown,91,6483802,7465,1.4035,12.1902
Iowa,Salary Non-union,98,3046355,1738,3.217,56.3867
Iowa,Salary Union,12,3046355,1738,0.3939,6.9045
Iowa,Salary Other,5,3046355,1738,0.1641,2.8769
Iowa,Hourly Non-union,67,3046355,1738,2.1993,38.5501
Iowa,Hourly Union,62,3046355,1738,2.0352,35.6732
Iowa,Hourly Other,7,3046355,1738,0.2298,4.0276
Iowa,Non-union,12,3046355,1738,0.3939,6.9045
Iowa,Union,2,3046355,1738,0.0657,1.1507
Iowa,Unknown,45,3046355,1738,1.4772,25.8918
Kansas,Salary Non-union,37,2853118,2026,1.2968,18.2626
Kansas,Salary Union,2,2853118,2026,0.0701,0.9872
Kansas,Salary Other,5,2853118,2026,0.1752,2.4679
Kansas,Hourly Non-union,63,2853118,2026,2.2081,31.0958
Kansas,Hourly Union,69,2853118,2026,2.4184,34.0573
Kansas,Hourly Other,13,2853118,2026,0.4556,6.4166
Kansas,Non-union,18,2853118,2026,0.6309,8.8845
Kansas,Union,5,2853118,2026,0.1752,2.4679
Kansas,Unknown,42,2853118,2026,1.4721,20.7305
Kentucky,Salary Non-union,38,4339367,3823,0.8757,9.9398
Kentucky,Salary Union,6,4339367,3823,0.1383,1.5694
Kentucky,Salary Other,11,4339367,3823,0.2535,2.8773
Kentucky,Hourly Non-union,65,4339367,3823,1.4979,17.0024
Kentucky,Hourly Union,104,4339367,3823,2.3967,27.2038
Kentucky,Hourly Other,14,4339367,3823,0.3226,3.662
Kentucky,Non-union,24,4339367,3823,0.5531,6.2778
Kentucky,Union,7,4339367,3823,0.1613,1.831
Kentucky,Unknown,124,4339367,3823,2.8576,32.4353
Louisiana,Salary Non-union,71,4533372,2935,1.5662,24.1908
Louisiana,Salary Union,3,4533372,2935,0.0662,1.0221
Louisiana,Salary Other,32,4533372,2935,0.7059,10.9029
Louisiana,Hourly Non-union,46,4533372,2935,1.0147,15.6729
Louisiana,Hourly Union,71,4533372,2935,1.5662,24.1908
Louisiana,Hourly Other,12,4533372,2935,0.2647,4.0886
Louisiana,Non-union,47,4533372,2935,1.0368,16.0136
Louisiana,Union,13,4533372,2935,0.2868,4.4293
Louisiana,Unknown,41,4533372,2935,0.9044,13.9693
Maine,Salary Non-union,12,1328361,548,0.9034,21.8978
Maine,Salary Other,1,1328361,548,0.0753,1.8248
Maine,Hourly Non-union,11,1328361,548,0.8281,20.073
Maine,Hourly Union,15,1328361,548,1.1292,27.3723
Maine,Hourly Other,1,1328361,548,0.0753,1.8248
Maine,Non-union,6,1328361,548,0.4517,10.9489
Maine,Unknown,13,1328361,548,0.9786,23.7226
Maine,Salary Union,0,1328361,548,0,0
Maine,Union,0,1328361,548,0,0
Maryland,Salary Non-union,129,5773552,4495,2.2343,28.6986
Maryland,Salary Union,5,5773552,4495,0.0866,1.1123
Maryland,Salary Other,19,5773552,4495,0.3291,4.2269
Maryland,Hourly Non-union,109,5773552,4495,1.8879,24.2492
Maryland,Hourly Union,103,5773552,4495,1.784,22.9143
Maryland,Hourly Other,8,5773552,4495,0.1386,1.7798
Maryland,Non-union,43,5773552,4495,0.7448,9.5662
Maryland,Union,17,5773552,4495,0.2944,3.782
Maryland,Unknown,58,5773552,4495,1.0046,12.9032
Massachusetts,Salary Non-union,213,6547629,5945,3.2531,35.8284
Massachusetts,Salary Union,5,6547629,5945,0.0764,0.841
Massachusetts,Salary Other,36,6547629,5945,0.5498,6.0555
Massachusetts,Hourly Non-union,177,6547629,5945,2.7033,29.7729
Massachusetts,Hourly Union,151,6547629,5945,2.3062,25.3995
Massachusetts,Hourly Other,18,6547629,5945,0.2749,3.0278
Massachusetts,Non-union,89,6547629,5945,1.3593,14.9706
Massachusetts,Union,29,6547629,5945,0.4429,4.878
Massachusetts,Unknown,141,6547629,5945,2.1535,23.7174
Michigan,Salary Non-union,496,9883640,23231,5.0184,21.3508
Michigan,Salary Union,774,9883640,23231,7.8311,33.3175
Michigan,Salary Other,53,9883640,23231,0.5362,2.2814
Michigan,Hourly Non-union,149,9883640,23231,1.5075,6.4138
Michigan,Hourly Union,1284,9883640,23231,12.9912,55.271
Michigan,Hourly Other,40,9883640,23231,0.4047,1.7218
Michigan,Non-union,40,9883640,23231,0.4047,1.7218
Michigan,Union,57,9883640,23231,0.5767,2.4536
Michigan,Unknown,78,9883640,23231,0.7892,3.3576
Minnesota,Salary Non-union,134,5303925,2775,2.5264,48.2883
Minnesota,Salary Union,5,5303925,2775,0.0943,1.8018
Minnesota,Salary Other,14,5303925,2775,0.264,5.045
Minnesota,Hourly Non-union,152,5303925,2775,2.8658,54.7748
Minnesota,Hourly Union,26,5303925,2775,0.4902,9.3694
Minnesota,Hourly Other,7,5303925,2775,0.132,2.5225
Minnesota,Non-union,83,5303925,2775,1.5649,29.9099
Minnesota,Union,4,5303925,2775,0.0754,1.4414
Minnesota,Unknown,72,5303925,2775,1.3575,25.9459
Mississippi,Salary Non-union,35,2967297,4220,1.1795,8.2938
Mississippi,Salary Other,2,2967297,4220,0.0674,0.4739
Mississippi,Hourly Non-union,48,2967297,4220,1.6176,11.3744
Mississippi,Hourly Union,63,2967297,4220,2.1231,14.9289
Mississippi,Hourly Other,6,2967297,4220,0.2022,1.4218
Mississippi,Non-union,290,2967297,4220,9.7732,68.7204
Mississippi,Union,31,2967297,4220,1.0447,7.346
Mississippi,Unknown,27,2967297,4220,0.9099,6.3981
Mississippi,Salary Union,0,2967297,4220,0,0
Missouri,Salary Non-union,182,5988927,8960,3.0389,20.3125
Missouri,Salary Union,15,5988927,8960,0.2505,1.6741
Missouri,Salary Other,37,5988927,8960,0.6178,4.1295
Missouri,Hourly Non-union,194,5988927,8960,3.2393,21.6518
Missouri,Hourly Union,388,5988927,8960,6.4786,43.3036
Missouri,Hourly Other,55,5988927,8960,0.9184,6.1384
Missouri,Non-union,51,5988927,8960,0.8516,5.692
Missouri,Union,37,5988927,8960,0.6178,4.1295
Missouri,Unknown,326,5988927,8960,5.4434,36.3839
Montana,Salary Non-union,12,989415,290,1.2128,41.3793
Montana,Salary Union,1,989415,290,0.1011,3.4483
Montana,Hourly Non-union,16,989415,290,1.6171,55.1724
Montana,Hourly Union,7,989415,290,0.7075,24.1379
Montana,Non-union,5,989415,290,0.5053,17.2414
Montana,Union,1,989415,290,0.1011,3.4483
Montana,Unknown,9,989415,290,0.9096,31.0345
Montana,Salary Other,0,989415,290,0,0
Montana,Hourly Other,0,989415,290,0,0
Nebraska,Salary Non-union,38,1826341,988,2.0807,38.4615
Nebraska,Salary Union,2,1826341,988,0.1095,2.0243
Nebraska,Salary Other,5,1826341,988,0.2738,5.0607
Nebraska,Hourly Non-union,63,1826341,988,3.4495,63.7652
Nebraska,Hourly Union,17,1826341,988,0.9308,17.2065
Nebraska,Hourly Other,4,1826341,988,0.219,4.0486
Nebraska,Non-union,15,1826341,988,0.8213,15.1822
Nebraska,Union,3,1826341,988,0.1643,3.0364
Nebraska,Unknown,13,1826341,988,0.7118,13.1579
Nevada,Salary Non-union,24,2700551,2031,0.8887,11.8168
Nevada,Salary Union,1,2700551,2031,0.037,0.4924
Nevada,Salary Other,4,2700551,2031,0.1481,1.9695
Nevada,Hourly Non-union,50,2700551,2031,1.8515,24.6184
Nevada,Hourly Union,26,2700551,2031,0.9628,12.8016
Nevada,Hourly Other,11,2700551,2031,0.4073,5.4161
Nevada,Non-union,16,2700551,2031,0.5925,7.8779
Nevada,Union,8,2700551,2031,0.2962,3.9389
