STATE,EECLASS,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,34,4779736,5730,0.7113,5.9337
Alabama,Salary Other,2,4779736,5730,0.0418,0.349
Alabama,Hourly Non-union,26,4779736,5730,0.544,4.5375
Alabama,Hourly Union,32,4779736,5730,0.6695,5.5846
Alabama,Hourly Other,6,4779736,5730,0.1255,1.0471
Alabama,Non-union,18,4779736,5730,0.3766,3.1414
Alabama,Union,1,4779736,5730,0.0209,0.1745
Alabama,Unknown,73,4779736,5730,1.5273,12.74
Alabama,Salary Union,0,4779736,5730,0,0
Alaska,Salary Non-union,1,710231,257,0.1408,3.8911
Alaska,Hourly Non-union,2,710231,257,0.2816,7.7821
Alaska,Salary Union,0,710231,257,0,0
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Union,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Alaska,Unknown,0,710231,257,0,0
Arizona,Salary Non-union,59,6392017,7456,0.923,7.9131
Arizona,Salary Union,1,6392017,7456,0.0156,0.1341
Arizona,Salary Other,21,6392017,7456,0.3285,2.8165
Arizona,Hourly Non-union,53,6392017,7456,0.8292,7.1084
Arizona,Hourly Union,7,6392017,7456,0.1095,0.9388
Arizona,Hourly Other,9,6392017,7456,0.1408,1.2071
Arizona,Non-union,35,6392017,7456,0.5476,4.6942
Arizona,Union,6,6392017,7456,0.0939,0.8047
Arizona,Unknown,87,6392017,7456,1.3611,11.6685
Arkansas,Salary Non-union,16,2915918,2052,0.5487,7.7973
Arkansas,Salary Other,3,2915918,2052,0.1029,1.462
Arkansas,Hourly Non-union,22,2915918,2052,0.7545,10.7212
Arkansas,Hourly Union,6,2915918,2052,0.2058,2.924
Arkansas,Hourly Other,1,2915918,2052,0.0343,0.4873
Arkansas,Non-union,4,2915918,2052,0.1372,1.9493
Arkansas,Unknown,6,2915918,2052,0.2058,2.924
Arkansas,Salary Union,0,2915918,2052,0,0
Arkansas,Union,0,2915918,2052,0,0
California,Salary Non-union,148,37253956,40228,0.3973,3.679
California,Salary Union,2,37253956,40228,0.0054,0.0497
California,Salary Other,35,37253956,40228,0.0939,0.87
California,Hourly Non-union,120,37253956,40228,0.3221,2.983
California,Hourly Union,67,37253956,40228,0.1798,1.6655
California,Hourly Other,13,37253956,40228,0.0349,0.3232
California,Non-union,92,37253956,40228,0.247,2.287
California,Union,192,37253956,40228,0.5154,4.7728
California,Unknown,1023,37253956,40228,2.746,25.43
Colorado,Salary Non-union,30,5029196,3198,0.5965,9.3809
Colorado,Salary Other,4,5029196,3198,0.0795,1.2508
Colorado,Hourly Non-union,31,5029196,3198,0.6164,9.6936
Colorado,Hourly Union,6,5029196,3198,0.1193,1.8762
Colorado,Hourly Other,2,5029196,3198,0.0398,0.6254
Colorado,Non-union,16,5029196,3198,0.3181,5.0031
Colorado,Union,8,5029196,3198,0.1591,2.5016
Colorado,Unknown,56,5029196,3198,1.1135,17.5109
Colorado,Salary Union,0,5029196,3198,0,0
Connecticut,Salary Non-union,37,3574097,3431,1.0352,10.784
Connecticut,Salary Union,1,3574097,3431,0.028,0.2915
Connecticut,Salary Other,5,3574097,3431,0.1399,1.4573
Connecticut,Hourly Non-union,30,3574097,3431,0.8394,8.7438
Connecticut,Hourly Union,39,3574097,3431,1.0912,11.3669
Connecticut,Hourly Other,5,3574097,3431,0.1399,1.4573
Connecticut,Non-union,14,3574097,3431,0.3917,4.0804
Connecticut,Union,2,3574097,3431,0.056,0.5829
Connecticut,Unknown,56,3574097,3431,1.5668,16.3218
Delaware,Salary Non-union,4,897934,2088,0.4455,1.9157
Delaware,Salary Other,2,897934,2088,0.2227,0.9579
Delaware,Hourly Non-union,5,897934,2088,0.5568,2.3946
Delaware,Hourly Union,16,897934,2088,1.7819,7.6628
Delaware,Non-union,3,897934,2088,0.3341,1.4368
Delaware,Union,3,897934,2088,0.3341,1.4368
Delaware,Unknown,35,897934,2088,3.8978,16.7625
Delaware,Salary Union,0,897934,2088,0,0
Delaware,Hourly Other,0,897934,2088,0,0
Florida,Salary Non-union,156,18801310,14966,0.8297,10.4236
Florida,Salary Union,3,18801310,14966,0.016,0.2005
Florida,Salary Other,38,18801310,14966,0.2021,2.5391
Florida,Hourly Non-union,139,18801310,14966,0.7393,9.2877
Florida,Hourly Union,150,18801310,14966,0.7978,10.0227
Florida,Hourly Other,21,18801310,14966,0.1117,1.4032
Florida,Non-union,121,18801310,14966,0.6436,8.085
Florida,Union,26,18801310,14966,0.1383,1.7373
Florida,Unknown,124,18801310,14966,0.6595,8.2854
