STATE,INDSTRY,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,"Oil & Gas Extraction, Mining",1,4779736,5730,0.0209,0.1745
Alabama,"Manufacturing, Durable Goods",103,4779736,5730,2.1549,17.9756
Alabama,"Manufacturing, Nondurable Goods",23,4779736,5730,0.4812,4.014
Alabama,"Transportation, Communications, Utilities",75,4779736,5730,1.5691,13.089
Alabama,Retail Trade,17,4779736,5730,0.3557,2.9668
Alabama,"Finance, Insurance, Real Estate",12,4779736,5730,0.2511,2.0942
Alabama,Services,40,4779736,5730,0.8369,6.9808
Alabama,Construction,1,4779736,5730,0.0209,0.1745
Alabama,"Agriculture, Forestry, Fishing",0,4779736,5730,0,0
Alabama,Wholesale,0,4779736,5730,0,0
Alaska,"Manufacturing, Durable Goods",1,710231,257,0.1408,3.8911
Alaska,"Manufacturing, Nondurable Goods",1,710231,257,0.1408,3.8911
Alaska,"Transportation, Communications, Utilities",4,710231,257,0.5632,15.5642
Alaska,Retail Trade,7,710231,257,0.9856,27.2374
Alaska,"Finance, Insurance, Real Estate",1,710231,257,0.1408,3.8911
Alaska,Services,36,710231,257,5.0688,140.0778
Alaska,"Oil & Gas Extraction, Mining",0,710231,257,0,0
Alaska,"Agriculture, Forestry, Fishing",0,710231,257,0,0
Alaska,Construction,0,710231,257,0,0
Alaska,Wholesale,0,710231,257,0,0
Arizona,"Oil & Gas Extraction, Mining",25,6392017,7456,0.3911,3.353
Arizona,"Manufacturing, Durable Goods",169,6392017,7456,2.6439,22.6663
Arizona,"Manufacturing, Nondurable Goods",41,6392017,7456,0.6414,5.4989
Arizona,"Transportation, Communications, Utilities",94,6392017,7456,1.4706,12.6073
Arizona,Retail Trade,61,6392017,7456,0.9543,8.1813
Arizona,"Finance, Insurance, Real Estate",274,6392017,7456,4.2866,36.7489
Arizona,Services,667,6392017,7456,10.4349,89.4582
Arizona,Construction,3,6392017,7456,0.0469,0.4024
Arizona,Wholesale,4,6392017,7456,0.0626,0.5365
Arizona,"Agriculture, Forestry, Fishing",0,6392017,7456,0,0
Arkansas,"Oil & Gas Extraction, Mining",1,2915918,2052,0.0343,0.4873
Arkansas,"Manufacturing, Durable Goods",28,2915918,2052,0.9602,13.6452
Arkansas,"Manufacturing, Nondurable Goods",38,2915918,2052,1.3032,18.5185
Arkansas,"Transportation, Communications, Utilities",48,2915918,2052,1.6461,23.3918
Arkansas,Retail Trade,6,2915918,2052,0.2058,2.924
Arkansas,"Finance, Insurance, Real Estate",5,2915918,2052,0.1715,2.4366
Arkansas,Services,22,2915918,2052,0.7545,10.7212
Arkansas,Wholesale,1,2915918,2052,0.0343,0.4873
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,2052,0,0
Arkansas,Construction,0,2915918,2052,0,0
California,"Oil & Gas Extraction, Mining",9,37253956,40228,0.0242,0.2237
California,"Manufacturing, Durable Goods",259,37253956,40228,0.6952,6.4383
California,"Manufacturing, Nondurable Goods",103,37253956,40228,0.2765,2.5604
California,"Transportation, Communications, Utilities",306,37253956,40228,0.8214,7.6066
California,Retail Trade,83,37253956,40228,0.2228,2.0632
California,"Finance, Insurance, Real Estate",249,37253956,40228,0.6684,6.1897
California,Services,986,37253956,40228,2.6467,24.5103
California,Construction,6,37253956,40228,0.0161,0.1491
California,Wholesale,11,37253956,40228,0.0295,0.2734
California,"Agriculture, Forestry, Fishing",0,37253956,40228,0,0
Colorado,"Oil & Gas Extraction, Mining",9,5029196,3198,0.179,2.8143
Colorado,"Manufacturing, Durable Goods",69,5029196,3198,1.372,21.576
Colorado,"Manufacturing, Nondurable Goods",25,5029196,3198,0.4971,7.8174
Colorado,"Transportation, Communications, Utilities",86,5029196,3198,1.71,26.8918
Colorado,Retail Trade,51,5029196,3198,1.0141,15.9475
Colorado,"Finance, Insurance, Real Estate",45,5029196,3198,0.8948,14.0713
Colorado,Services,94,5029196,3198,1.8691,29.3934
Colorado,Wholesale,3,5029196,3198,0.0597,0.9381
Colorado,"Agriculture, Forestry, Fishing",0,5029196,3198,0,0
Colorado,Construction,0,5029196,3198,0,0
Connecticut,"Manufacturing, Durable Goods",93,3574097,3431,2.6021,27.1058
Connecticut,"Manufacturing, Nondurable Goods",13,3574097,3431,0.3637,3.789
Connecticut,"Transportation, Communications, Utilities",96,3574097,3431,2.686,27.9802
Connecticut,Retail Trade,22,3574097,3431,0.6155,6.4121
Connecticut,"Finance, Insurance, Real Estate",33,3574097,3431,0.9233,9.6182
Connecticut,Services,62,3574097,3431,1.7347,18.0705
Connecticut,"Agriculture, Forestry, Fishing",2,3574097,3431,0.056,0.5829
Connecticut,Construction,4,3574097,3431,0.1119,1.1658
Connecticut,Wholesale,8,3574097,3431,0.2238,2.3317
Connecticut,"Oil & Gas Extraction, Mining",0,3574097,3431,0,0
Delaware,"Oil & Gas Extraction, Mining",1,897934,2088,0.1114,0.4789
Delaware,"Manufacturing, Durable Goods",71,897934,2088,7.907,34.0038
Delaware,"Manufacturing, Nondurable Goods",10,897934,2088,1.1137,4.7893
Delaware,"Transportation, Communications, Utilities",30,897934,2088,3.341,14.3678
Delaware,Retail Trade,10,897934,2088,1.1137,4.7893
Delaware,"Finance, Insurance, Real Estate",43,897934,2088,4.7888,20.5939
Delaware,Services,3,897934,2088,0.3341,1.4368
Delaware,Wholesale,2,897934,2088,0.2227,0.9579
