STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,431,4779736,5730,9.0172,75.2182
Alaska,51,710231,257,7.1808,198.4436
Arizona,1372,6392017,7456,21.4643,184.0129
Arkansas,153,2915918,2052,5.2471,74.5614
California,8083,37253956,40228,21.697,200.9297
Colorado,392,5029196,3198,7.7945,122.5766
Connecticut,339,3574097,3431,9.4849,98.805
Delaware,240,897934,2088,26.728,114.9425
Florida,1537,18801310,14966,8.175,102.6995
Georgia,2335,9687653,22416,24.1028,104.1667
Hawaii,3,1360301,85,0.2205,35.2941
Idaho,77,1567582,569,4.912,135.3251
Illinois,1093,12830632,10670,8.5187,102.4367
Indiana,975,6483802,7465,15.0375,130.6095
Iowa,171,3046355,1738,5.6133,98.389
Kansas,191,2853118,2026,6.6944,94.2744
Kentucky,476,4339367,3823,10.9693,124.5095
Louisiana,369,4533372,2935,8.1396,125.724
Maine,58,1328361,548,4.3663,105.8394
Maryland,755,5773552,4495,13.0769,167.9644
Massachusetts,677,6547629,5945,10.3396,113.8772
Michigan,3197,9883640,23231,32.3464,137.6178
Minnesota,322,5303925,2775,6.071,116.036
Mississippi,337,2967297,4220,11.3571,79.8578
Missouri,765,5988927,8960,12.7736,85.3795
Montana,30,989415,290,3.0321,103.4483
Nebraska,94,1826341,988,5.1469,95.1417
Nevada,197,2700551,2031,7.2948,96.9966
New Hampshire,57,1316470,735,4.3298,77.551
New Jersey,611,8791894,6690,6.9496,91.3303
New Mexico,64,2059179,508,3.108,125.9843
New York,912,19378102,9491,4.7063,96.091
North Carolina,682,9535483,5321,7.1522,128.1714
North Dakota,42,672591,264,6.2445,159.0909
Ohio,2461,11536504,18596,21.3323,132.3403
Oklahoma,301,3751351,2496,8.0238,120.5929
Oregon,406,3831074,3046,10.5976,133.2896
Pennsylvania,835,12702379,8980,6.5736,92.9844
Puerto Rico,7,3725789,117,0.1879,59.8291
Rhode Island,52,1052567,795,4.9403,65.4088
South Carolina,306,4625364,2399,6.6157,127.5531
South Dakota,38,814180,360,4.6673,105.5556
Tennessee,1291,6346105,10788,20.3432,119.67
Texas,3893,25145561,24161,15.4819,161.1274
Utah,260,2763885,2598,9.407,100.077
Vermont,19,625741,188,3.0364,101.0638
Virginia,609,8001024,4923,7.6115,123.7051
Washington,388,6724540,3538,5.7699,109.6665
West Virginia,128,1852994,1245,6.9077,102.8112
Wisconsin,376,5686986,3168,6.6116,118.6869
Wyoming,20,563626,179,3.5485,111.7318
