STATE,CENSUS2010POP,STD_POP,CASES,rates
Alabama,4779736,47.79736,426,8.9126
Alaska,710231,7.10231,29,4.0832
Arizona,6392017,63.92017,886,13.861
Arkansas,2915918,29.15918,186,6.3788
California,37253956,372.53956,4437,11.9101
Colorado,5029196,50.29196,436,8.6694
Connecticut,3574097,35.74097,302,8.4497
Delaware,897934,8.97934,231,25.7257
Florida,18801310,188.0131,1362,7.2442
Georgia,9687653,96.87653,1733,17.8887
Hawaii,1360301,13.60301,5,0.3676
Idaho,1567582,15.67582,85,5.4224
Illinois,12830632,128.30632,1029,8.0199
Indiana,6483802,64.83802,846,13.0479
Iowa,3046355,30.46355,221,7.2546
Kansas,2853118,28.53118,165,5.7831
Kentucky,4339367,43.39367,362,8.3422
Louisiana,4533372,45.33372,233,5.1397
Maine,1328361,13.28361,51,3.8393
Maryland,5773552,57.73552,459,7.95
Massachusetts,6547629,65.47629,687,10.4923
Michigan,9883640,98.8364,2722,27.5405
Minnesota,5303925,53.03925,414,7.8055
Mississippi,2967297,29.67297,285,9.6047
Missouri,5988927,59.88927,1010,16.8645
Montana,989415,9.89415,43,4.346
Nebraska,1826341,18.26341,117,6.4063
Nevada,2700551,27.00551,166,6.1469
New Hampshire,1316470,13.1647,98,7.4441
New Jersey,8791894,87.91894,632,7.1884
New Mexico,2059179,20.59179,62,3.0109
New York,19378102,193.78102,927,4.7838
North Carolina,9535483,95.35483,519,5.4428
North Dakota,672591,6.72591,38,5.6498
Ohio,11536504,115.36504,2172,18.8272
Oklahoma,3751351,37.51351,222,5.9179
Oregon,3831074,38.31074,380,9.9189
Pennsylvania,12702379,127.02379,938,7.3844
Rhode Island,1052567,10.52567,124,11.7807
South Carolina,4625364,46.25364,234,5.0591
South Dakota,814180,8.1418,47,5.7727
Tennessee,6346105,63.46105,847,13.3468
Texas,25145561,251.45561,1772,7.047
Utah,2763885,27.63885,482,17.4392
Vermont,625741,6.25741,28,4.4747
Virginia,8001024,80.01024,514,6.4242
Washington,6724540,67.2454,410,6.0971
West Virginia,1852994,18.52994,117,6.3141
Wisconsin,5686986,56.86986,418,7.3501
Wyoming,563626,5.63626,24,4.2581
