STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,634,4779736,5730,13.2643,110.6457
Alaska,41,710231,257,5.7728,159.5331
Arizona,1319,6392017,7456,20.6351,176.9045
Arkansas,214,2915918,2052,7.339,104.2885
California,9784,37253956,40228,26.263,243.2137
Colorado,464,5029196,3198,9.2261,145.0907
Connecticut,465,3574097,3431,13.0103,135.529
Delaware,259,897934,2088,28.844,124.0421
Florida,2450,18801310,14966,13.031,163.7044
Georgia,2945,9687653,22416,30.3995,131.3794
Hawaii,19,1360301,85,1.3967,223.5294
Idaho,69,1567582,569,4.4017,121.2654
Illinois,1981,12830632,10670,15.4396,185.6607
Indiana,1507,6483802,7465,23.2425,201.8754
Iowa,252,3046355,1738,8.2722,144.9942
Kansas,257,2853118,2026,9.0077,126.8509
Kentucky,614,4339367,3823,14.1495,160.6069
Louisiana,432,4533372,2935,9.5293,147.1891
Maine,85,1328361,548,6.3989,155.1095
Maryland,773,5773552,4495,13.3886,171.9689
Massachusetts,809,6547629,5945,12.3556,136.0807
Michigan,5741,9883640,23231,58.0859,247.1267
Minnesota,423,5303925,2775,7.9752,152.4324
Mississippi,332,2967297,4220,11.1886,78.673
Missouri,1439,5988927,8960,24.0277,160.6027
Montana,46,989415,290,4.6492000000000004,158.6207
Nebraska,161,1826341,988,8.8154,162.9555
Nevada,271,2700551,2031,10.035,133.4318
New Hampshire,101,1316470,735,7.672,137.415
New Jersey,1080,8791894,6690,12.284,161.435
New Mexico,73,2059179,508,3.5451,143.7008
New York,1776,19378102,9491,9.165,187.1246
North Carolina,705,9535483,5321,7.3934,132.4939
North Dakota,55,672591,264,8.1773,208.3333
Ohio,3974,11536504,18596,34.4472,213.7019
Oklahoma,342,3751351,2496,9.1167,137.0192
Oregon,433,3831074,3046,11.3023,142.1536
Pennsylvania,1409,12702379,8980,11.0924,156.9042
Puerto Rico,3,3725789,117,0.0805,25.641
Rhode Island,56,1052567,795,5.3203,70.4403
South Carolina,354,4625364,2399,7.6535,147.5615
South Dakota,61,814180,360,7.4922,169.4444
Tennessee,1212,6346105,10788,19.0983,112.3471
Texas,2908,25145561,24161,11.5647,120.3593
Utah,289,2763885,2598,10.4563,111.2394
Vermont,29,625741,188,4.6345,154.2553
Virginia,739,8001024,4923,9.2363,150.1117
Washington,327,6724540,3538,4.8628,92.4251
West Virginia,226,1852994,1245,12.1965,181.5261
Wisconsin,564,5686986,3168,9.9174,178.0303
Wyoming,21,563626,179,3.7259,117.3184
